GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B09010_001,721443,2153,2010,Estimate!!Total,NA,Total
19,Iowa,B09010_002,171517,9027,2010,"Estimate!!Total!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",NA,"Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
19,Iowa,B09010_003,169791,9057,2010,"Estimate!!Total!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months!!In family households",NA,In family households
19,Iowa,B09010_004,71557,6167,2010,"Estimate!!Total!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months!!In family households!!In married-couple family",NA,In married-couple family
19,Iowa,B09010_005,14399,2539,2010,"Estimate!!Total!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months!!In family households!!In male householder, no wife present, family",NA,"In male householder, no wife present, family"
19,Iowa,B09010_006,83835,6633,2010,"Estimate!!Total!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months!!In family households!!In female householder, no husband present, family",NA,"In female householder, no husband present, family"
19,Iowa,B09010_007,1726,867,2010,"Estimate!!Total!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months!!In nonfamily households",NA,In nonfamily households
19,Iowa,B09010_008,549926,8896,2010,"Estimate!!Total!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",NA,"Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
19,Iowa,B09010_009,545061,8920,2010,"Estimate!!Total!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months!!In family households",NA,In family households
19,Iowa,B09010_010,443420,9795,2010,"Estimate!!Total!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months!!In family households!!In married-couple family",NA,In married-couple family
19,Iowa,B09010_011,34385,3918,2010,"Estimate!!Total!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months!!In family households!!In male householder, no wife present, family",NA,"In male householder, no wife present, family"
19,Iowa,B09010_012,67256,5396,2010,"Estimate!!Total!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months!!In family households!!In female householder, no husband present, family",NA,"In female householder, no husband present, family"
19,Iowa,B09010_013,4865,1360,2010,"Estimate!!Total!!Living in household with no Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months!!In nonfamily households",NA,In nonfamily households
19,Iowa,B09010_001,720582,2142,2011,Estimate!!Total,NA,Total
19,Iowa,B09010_002,169161,8318,2011,"Estimate!!Total!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",NA,"Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
19,Iowa,B09010_003,166346,8417,2011,"Estimate!!Total!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months!!In family households",NA,In family households
19,Iowa,B09010_004,65212,5664,2011,"Estimate!!Total!!Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months!!In family households!!In married-couple family",NA,In married-couple family
