GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
1900006,North Fayette ,B25012_001,2474,179,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
1900006,North Fayette ,B25012_005,102,49,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1900006,North Fayette ,B25012_006,111,40,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1900006,North Fayette ,B25012_013,51,38,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1900006,North Fayette ,B25012_014,30,28,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1900009,Colfax-Mingo ,B25012_001,1852,152,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
1900009,Colfax-Mingo ,B25012_005,148,66,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1900009,Colfax-Mingo ,B25012_006,162,53,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1900009,Colfax-Mingo ,B25012_013,14,15,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
1900009,Colfax-Mingo ,B25012_014,35,29,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
1900015,Sibley-Ocheyedan ,B25012_001,1980,122,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
1900015,Sibley-Ocheyedan ,B25012_005,131,78,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
