GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B25012_001,1223439,6610,2010,Estimate!!Total,NA,Total
19,Iowa,B25012_005,50688,2760,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,NA,Under 6 years only
19,Iowa,B25012_006,55753,3000,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,NA,Under 6 years and 6 to 17 years
19,Iowa,B25012_013,30868,2736,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,NA,Under 6 years only
19,Iowa,B25012_014,20578,2056,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,NA,Under 6 years and 6 to 17 years
19,Iowa,B25012_001,1216765,7072,2011,Estimate!!Total,NA,Total
19,Iowa,B25012_005,50955,3203,2011,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,NA,Under 6 years only
19,Iowa,B25012_006,54899,2898,2011,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,NA,Under 6 years and 6 to 17 years
19,Iowa,B25012_013,28893,2479,2011,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,NA,Under 6 years only
19,Iowa,B25012_014,21851,2287,2011,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,NA,Under 6 years and 6 to 17 years
19,Iowa,B25012_001,1227048,6132,2012,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
19,Iowa,B25012_005,50494,2989,2012,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
19,Iowa,B25012_006,49053,2236,2012,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
19,Iowa,B25012_013,32661,2532,2012,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
19,Iowa,B25012_014,21547,2146,2012,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
19,Iowa,B25012_001,1236209,7287,2013,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
