GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19001,Adair ,B19126_001,57301,3159,2009,Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Total,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,Total
19001,Adair ,B19126_003,69318,8464,2009,Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Married-couple family!!With own children under 18 years,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,With own children under 18 years
19001,Adair ,B19126_007,31250,30619,2009,"Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Other family!!Male householder, no wife present!!With own children under 18 years",MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,With own children under 18 years
19001,Adair ,B19126_010,19375,8857,2009,"Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Other family!!Female householder, no husband present!!With own children under 18 years",MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,With own children under 18 years
19003,Adams ,B19126_001,54545,3612,2009,Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Total,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,Total
19003,Adams ,B19126_003,70556,11319,2009,Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Married-couple family!!With own children under 18 years,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,With own children under 18 years
19003,Adams ,B19126_007,28750,824,2009,"Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Other family!!Male householder, no wife present!!With own children under 18 years",MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,With own children under 18 years
19003,Adams ,B19126_010,29375,24293,2009,"Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Other family!!Female householder, no husband present!!With own children under 18 years",MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,With own children under 18 years
19005,Allamakee ,B19126_001,51702,3794,2009,Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Total,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,Total
19005,Allamakee ,B19126_003,58634,5900,2009,Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Married-couple family!!With own children under 18 years,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,With own children under 18 years
