GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B19126_001,61156,771,2009,Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Total,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,Total
19,Iowa,B19126_003,75311,1245,2009,Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Married-couple family!!With own children under 18 years,MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,With own children under 18 years
19,Iowa,B19126_007,33697,3292,2009,"Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Other family!!Male householder, no wife present!!With own children under 18 years",MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,With own children under 18 years
19,Iowa,B19126_010,21765,1457,2009,"Estimate!!Median family income in the past 12 months (in 2009 inflation-adjusted dollars)!!Other family!!Female householder, no husband present!!With own children under 18 years",MEDIAN FAMILY INCOME IN THE PAST 12 MONTHS (IN 2009 INFLATION-ADJUSTED DOLLARS) BY FAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,With own children under 18 years
19,Iowa,B19126_001,60917,646,2010,Estimate!!Median family income in the past 12 months (in 2010 inflation-adjusted dollars)!!Total,NA,Total
19,Iowa,B19126_003,74714,1665,2010,Estimate!!Median family income in the past 12 months (in 2010 inflation-adjusted dollars)!!Married-couple family!!With own children under 18 years,NA,With own children under 18 years
19,Iowa,B19126_007,37615,1916,2010,"Estimate!!Median family income in the past 12 months (in 2010 inflation-adjusted dollars)!!Other family!!Male householder, no wife present!!With own children under 18 years",NA,With own children under 18 years
19,Iowa,B19126_010,24276,1785,2010,"Estimate!!Median family income in the past 12 months (in 2010 inflation-adjusted dollars)!!Other family!!Female householder, no husband present!!With own children under 18 years",NA,With own children under 18 years
19,Iowa,B19126_001,62821,829,2011,Estimate!!Median family income in the past 12 months (in 2011 inflation-adjusted dollars)!!Total,NA,Total
19,Iowa,B19126_003,77736,1392,2011,Estimate!!Median family income in the past 12 months (in 2011 inflation-adjusted dollars)!!Married-couple family!!With own children under 18 years,NA,With own children under 18 years
