GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19001,Adair ,B07001_002,405,62,2010,Estimate!!Total!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19001,Adair ,B07001_018,325,61,2010,Estimate!!Total!!Same house 1 year ago!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19001,Adair ,B07001_034,14,13,2010,Estimate!!Total!!Moved within same county!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19001,Adair ,B07001_050,43,30,2010,Estimate!!Total!!Moved from different county within same state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19001,Adair ,B07001_066,23,33,2010,Estimate!!Total!!Moved from different state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19001,Adair ,B07001_082,0,99,2010,Estimate!!Total!!Moved from abroad!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19003,Adams ,B07001_002,128,43,2010,Estimate!!Total!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19003,Adams ,B07001_018,118,44,2010,Estimate!!Total!!Same house 1 year ago!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19003,Adams ,B07001_034,0,99,2010,Estimate!!Total!!Moved within same county!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19003,Adams ,B07001_050,10,15,2010,Estimate!!Total!!Moved from different county within same state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19003,Adams ,B07001_066,0,99,2010,Estimate!!Total!!Moved from different state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19003,Adams ,B07001_082,0,99,2010,Estimate!!Total!!Moved from abroad!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19005,Allamakee ,B07001_002,851,50,2010,Estimate!!Total!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19005,Allamakee ,B07001_018,697,72,2010,Estimate!!Total!!Same house 1 year ago!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19005,Allamakee ,B07001_034,112,57,2010,Estimate!!Total!!Moved within same county!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19005,Allamakee ,B07001_050,22,31,2010,Estimate!!Total!!Moved from different county within same state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19005,Allamakee ,B07001_066,20,27,2010,Estimate!!Total!!Moved from different state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19005,Allamakee ,B07001_082,0,99,2010,Estimate!!Total!!Moved from abroad!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19007,Appanoose ,B07001_002,695,90,2010,Estimate!!Total!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19007,Appanoose ,B07001_018,490,107,2010,Estimate!!Total!!Same house 1 year ago!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19007,Appanoose ,B07001_034,152,59,2010,Estimate!!Total!!Moved within same county!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19007,Appanoose ,B07001_050,32,29,2010,Estimate!!Total!!Moved from different county within same state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19007,Appanoose ,B07001_066,21,30,2010,Estimate!!Total!!Moved from different state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19007,Appanoose ,B07001_082,0,99,2010,Estimate!!Total!!Moved from abroad!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19009,Audubon ,B07001_002,238,59,2010,Estimate!!Total!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19009,Audubon ,B07001_018,222,61,2010,Estimate!!Total!!Same house 1 year ago!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
