GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B05009_002,234793,3254,2010,Estimate!!Total!!Under 6 years,NA,Under 6 years
19,Iowa,B05009_003,165879,4128,2010,Estimate!!Total!!Under 6 years!!Living with two parents,NA,Living with two parents
19,Iowa,B05009_004,164408,4224,2010,Estimate!!Total!!Under 6 years!!Living with two parents!!Child is native,NA,Child is native
19,Iowa,B05009_005,1471,565,2010,Estimate!!Total!!Under 6 years!!Living with two parents!!Child is foreign born,NA,Child is foreign born
19,Iowa,B05009_006,147245,3995,2010,Estimate!!Total!!Under 6 years!!Living with two parents!!Both parents native,NA,Both parents native
19,Iowa,B05009_007,11134,1853,2010,Estimate!!Total!!Under 6 years!!Living with two parents!!Both parents foreign born,NA,Both parents foreign born
19,Iowa,B05009_010,7500,1777,2010,Estimate!!Total!!Under 6 years!!Living with two parents!!One native and one foreign-born parent,NA,One native and one foreign-born parent
19,Iowa,B05009_013,68914,4130,2010,Estimate!!Total!!Under 6 years!!Living with one parent,NA,Living with one parent
19,Iowa,B05009_014,68585,4084,2010,Estimate!!Total!!Under 6 years!!Living with one parent!!Child is native,NA,Child is native
19,Iowa,B05009_015,329,251,2010,Estimate!!Total!!Under 6 years!!Living with one parent!!Child is foreign born,NA,Child is foreign born
19,Iowa,B05009_016,62157,3636,2010,Estimate!!Total!!Under 6 years!!Living with one parent!!Native parent,NA,Native parent
19,Iowa,B05009_017,6757,1651,2010,Estimate!!Total!!Under 6 years!!Living with one parent!!Foreign-born parent,NA,Foreign-born parent
19,Iowa,B05009_002,231649,3634,2011,Estimate!!Total!!Under 6 years,NA,Under 6 years
19,Iowa,B05009_003,161129,4336,2011,Estimate!!Total!!Under 6 years!!Living with two parents,NA,Living with two parents
19,Iowa,B05009_004,159131,4167,2011,Estimate!!Total!!Under 6 years!!Living with two parents!!Child is native,NA,Child is native
19,Iowa,B05009_005,1998,1002,2011,Estimate!!Total!!Under 6 years!!Living with two parents!!Child is foreign born,NA,Child is foreign born
19,Iowa,B05009_006,143325,3885,2011,Estimate!!Total!!Under 6 years!!Living with two parents!!Both parents native,NA,Both parents native
19,Iowa,B05009_007,12187,2028,2011,Estimate!!Total!!Under 6 years!!Living with two parents!!Both parents foreign born,NA,Both parents foreign born
19,Iowa,B05009_010,5617,1097,2011,Estimate!!Total!!Under 6 years!!Living with two parents!!One native and one foreign-born parent,NA,One native and one foreign-born parent
19,Iowa,B05009_013,70520,4273,2011,Estimate!!Total!!Under 6 years!!Living with one parent,NA,Living with one parent
19,Iowa,B05009_014,70464,4282,2011,Estimate!!Total!!Under 6 years!!Living with one parent!!Child is native,NA,Child is native
19,Iowa,B05009_015,56,82,2011,Estimate!!Total!!Under 6 years!!Living with one parent!!Child is foreign born,NA,Child is foreign born
19,Iowa,B05009_016,64898,4336,2011,Estimate!!Total!!Under 6 years!!Living with one parent!!Native parent,NA,Native parent
19,Iowa,B05009_017,5622,1372,2011,Estimate!!Total!!Under 6 years!!Living with one parent!!Foreign-born parent,NA,Foreign-born parent
19,Iowa,B05009_002,229559,3493,2012,Estimate!!Total!!Under 6 years,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Under 6 years
19,Iowa,B05009_003,159964,3895,2012,Estimate!!Total!!Under 6 years!!Living with two parents,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Living with two parents
19,Iowa,B05009_004,158353,3953,2012,Estimate!!Total!!Under 6 years!!Living with two parents!!Child is native,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Child is native
19,Iowa,B05009_005,1611,624,2012,Estimate!!Total!!Under 6 years!!Living with two parents!!Child is foreign born,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Child is foreign born
19,Iowa,B05009_006,141113,3944,2012,Estimate!!Total!!Under 6 years!!Living with two parents!!Both parents native,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Both parents native
19,Iowa,B05009_007,11890,1882,2012,Estimate!!Total!!Under 6 years!!Living with two parents!!Both parents foreign born,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Both parents foreign born
19,Iowa,B05009_010,6961,1326,2012,Estimate!!Total!!Under 6 years!!Living with two parents!!One native and one foreign-born parent,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,One native and one foreign-born parent
19,Iowa,B05009_013,69595,3797,2012,Estimate!!Total!!Under 6 years!!Living with one parent,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Living with one parent
19,Iowa,B05009_014,69033,3728,2012,Estimate!!Total!!Under 6 years!!Living with one parent!!Child is native,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Child is native
19,Iowa,B05009_015,562,421,2012,Estimate!!Total!!Under 6 years!!Living with one parent!!Child is foreign born,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Child is foreign born
19,Iowa,B05009_016,64758,3578,2012,Estimate!!Total!!Under 6 years!!Living with one parent!!Native parent,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Native parent
19,Iowa,B05009_017,4837,1273,2012,Estimate!!Total!!Under 6 years!!Living with one parent!!Foreign-born parent,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Foreign-born parent
19,Iowa,B05009_002,230199,3893,2013,Estimate!!Total!!Under 6 years,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Under 6 years
19,Iowa,B05009_003,156552,4422,2013,Estimate!!Total!!Under 6 years!!Living with two parents,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Living with two parents
19,Iowa,B05009_004,154641,4366,2013,Estimate!!Total!!Under 6 years!!Living with two parents!!Child is native,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Child is native
19,Iowa,B05009_005,1911,779,2013,Estimate!!Total!!Under 6 years!!Living with two parents!!Child is foreign born,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Child is foreign born
19,Iowa,B05009_006,138436,3926,2013,Estimate!!Total!!Under 6 years!!Living with two parents!!Both parents native,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Both parents native
