GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
1900006,North Fayette ,B09001_002,1162,171,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900006,North Fayette ,B09001_003,179,54,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900006,North Fayette ,B09001_004,129,38,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900006,North Fayette ,B09001_005,54,30,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1900009,Colfax-Mingo ,B09001_002,1362,207,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900009,Colfax-Mingo ,B09001_003,313,81,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900009,Colfax-Mingo ,B09001_004,189,71,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900009,Colfax-Mingo ,B09001_005,111,47,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1900015,Sibley-Ocheyedan ,B09001_002,1306,80,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900015,Sibley-Ocheyedan ,B09001_003,216,42,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900015,Sibley-Ocheyedan ,B09001_004,135,39,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900015,Sibley-Ocheyedan ,B09001_005,72,40,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1900021,Okoboji ,B09001_002,1000,135,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900021,Okoboji ,B09001_003,163,68,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900021,Okoboji ,B09001_004,109,45,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900021,Okoboji ,B09001_005,24,27,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1900022,Union ,B09001_002,1793,198,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900022,Union ,B09001_003,246,79,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900022,Union ,B09001_004,154,55,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900022,Union ,B09001_005,90,56,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1900023,Sioux Central ,B09001_002,635,137,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900023,Sioux Central ,B09001_003,47,32,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900023,Sioux Central ,B09001_004,50,23,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900023,Sioux Central ,B09001_005,19,11,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1900024,Southern Cal ,B09001_002,745,116,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900024,Southern Cal ,B09001_003,151,50,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900024,Southern Cal ,B09001_004,69,34,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900024,Southern Cal ,B09001_005,60,37,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1900025,Panorama ,B09001_002,1142,146,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900025,Panorama ,B09001_003,197,58,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900025,Panorama ,B09001_004,109,41,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900025,Panorama ,B09001_005,37,23,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1900026,South O'Brien ,B09001_002,1044,134,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900026,South O'Brien ,B09001_003,233,57,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900026,South O'Brien ,B09001_004,100,35,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900026,South O'Brien ,B09001_005,60,28,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1900027,Riverside ,B09001_002,891,152,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900027,Riverside ,B09001_003,123,38,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900027,Riverside ,B09001_004,116,45,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900027,Riverside ,B09001_005,52,31,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1900028,Prairie Valley ,B09001_002,988,116,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900028,Prairie Valley ,B09001_003,113,44,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900028,Prairie Valley ,B09001_004,93,43,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900028,Prairie Valley ,B09001_005,20,15,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1900040,East Marshall ,B09001_002,883,143,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900040,East Marshall ,B09001_003,102,40,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900040,East Marshall ,B09001_004,82,32,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900040,East Marshall ,B09001_005,33,25,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1900060,GMG ,B09001_002,555,120,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1900060,GMG ,B09001_003,92,44,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1900060,GMG ,B09001_004,41,31,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1900060,GMG ,B09001_005,35,22,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903030,Lineville-Clio ,B09001_002,75,37,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903030,Lineville-Clio ,B09001_003,8,10,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903030,Lineville-Clio ,B09001_004,2,4,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903030,Lineville-Clio ,B09001_005,4,7,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903060,AGWSR ,B09001_002,1136,151,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903060,AGWSR ,B09001_003,204,67,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903060,AGWSR ,B09001_004,86,37,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903060,AGWSR ,B09001_005,49,31,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903090,Adair-Casey ,B09001_002,537,137,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903090,Adair-Casey ,B09001_003,83,48,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903090,Adair-Casey ,B09001_004,47,24,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903090,Adair-Casey ,B09001_005,34,24,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903150,Adel-De Soto-Minburn ,B09001_002,1909,206,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903150,Adel-De Soto-Minburn ,B09001_003,345,119,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903150,Adel-De Soto-Minburn ,B09001_004,172,61,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903150,Adel-De Soto-Minburn ,B09001_005,80,41,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903220,Akron-Westfield ,B09001_002,869,152,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903220,Akron-Westfield ,B09001_003,138,43,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903220,Akron-Westfield ,B09001_004,60,33,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903220,Akron-Westfield ,B09001_005,27,18,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903240,Albert City-Truesdale ,B09001_002,357,87,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903240,Albert City-Truesdale ,B09001_003,35,25,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903240,Albert City-Truesdale ,B09001_004,28,18,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903240,Albert City-Truesdale ,B09001_005,28,19,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903270,Albia ,B09001_002,1704,88,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903270,Albia ,B09001_003,249,56,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903270,Albia ,B09001_004,169,56,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903270,Albia ,B09001_005,71,45,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903300,Alburnett ,B09001_002,584,122,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903300,Alburnett ,B09001_003,60,34,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903300,Alburnett ,B09001_004,39,28,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903300,Alburnett ,B09001_005,16,17,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903330,Alden ,B09001_002,442,106,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903330,Alden ,B09001_003,75,34,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903330,Alden ,B09001_004,37,24,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903330,Alden ,B09001_005,15,17,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903360,Algona ,B09001_002,2141,134,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903360,Algona ,B09001_003,360,52,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903360,Algona ,B09001_004,219,61,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903360,Algona ,B09001_005,96,56,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903390,Allamakee ,B09001_002,2062,217,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903390,Allamakee ,B09001_003,296,67,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903390,Allamakee ,B09001_004,211,70,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903390,Allamakee ,B09001_005,68,39,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903450,Allison-Bristow ,B09001_002,349,89,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903450,Allison-Bristow ,B09001_003,56,25,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903450,Allison-Bristow ,B09001_004,24,18,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903450,Allison-Bristow ,B09001_005,25,18,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903480,Alta ,B09001_002,718,102,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
1903480,Alta ,B09001_003,141,55,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
1903480,Alta ,B09001_004,76,25,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
1903480,Alta ,B09001_005,43,23,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
1903540,Ames ,B09001_002,6618,330,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
