GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
1900006,North Fayette ,B17020_001,5647,359,2013,Estimate!!Total,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Total
1900006,North Fayette ,B17020_002,668,164,2013,Estimate!!Total!!Income in the past 12 months below poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months below poverty level
1900006,North Fayette ,B17020_003,74,57,2013,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
1900006,North Fayette ,B17020_010,4979,384,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months at or above poverty level
1900006,North Fayette ,B17020_011,348,102,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
1900009,Colfax-Mingo ,B17020_001,4346,432,2013,Estimate!!Total,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Total
1900009,Colfax-Mingo ,B17020_002,422,168,2013,Estimate!!Total!!Income in the past 12 months below poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months below poverty level
1900009,Colfax-Mingo ,B17020_003,37,30,2013,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
1900009,Colfax-Mingo ,B17020_010,3924,409,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months at or above poverty level
1900009,Colfax-Mingo ,B17020_011,395,103,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
1900015,Sibley-Ocheyedan ,B17020_001,4620,179,2013,Estimate!!Total,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Total
1900015,Sibley-Ocheyedan ,B17020_002,433,149,2013,Estimate!!Total!!Income in the past 12 months below poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months below poverty level
1900015,Sibley-Ocheyedan ,B17020_003,57,38,2013,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
1900015,Sibley-Ocheyedan ,B17020_010,4187,238,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months at or above poverty level
1900015,Sibley-Ocheyedan ,B17020_011,341,72,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
