GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B17020_001,2991670,1604,2013,Estimate!!Total,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Total
19,Iowa,B17020_002,379127,13393,2013,Estimate!!Total!!Income in the past 12 months below poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months below poverty level
19,Iowa,B17020_003,40424,3365,2013,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
19,Iowa,B17020_010,2612543,13457,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months at or above poverty level
19,Iowa,B17020_011,192779,5046,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
19,Iowa,B17020_001,3004857,1994,2014,Estimate!!Total,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Total
19,Iowa,B17020_002,367816,14237,2014,Estimate!!Total!!Income in the past 12 months below poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months below poverty level
19,Iowa,B17020_003,36715,2836,2014,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
19,Iowa,B17020_010,2637041,14316,2014,Estimate!!Total!!Income in the past 12 months at or above poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months at or above poverty level
19,Iowa,B17020_011,192255,3563,2014,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
19,Iowa,B17020_001,3021823,2361,2015,Estimate!!Total,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Total
19,Iowa,B17020_002,367414,13279,2015,Estimate!!Total!!Income in the past 12 months below poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months below poverty level
19,Iowa,B17020_003,37963,3322,2015,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
19,Iowa,B17020_010,2654409,13148,2015,Estimate!!Total!!Income in the past 12 months at or above poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months at or above poverty level
19,Iowa,B17020_011,194843,4551,2015,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
19,Iowa,B17020_001,3031338,2083,2016,Estimate!!Total,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Total
19,Iowa,B17020_002,356378,12582,2016,Estimate!!Total!!Income in the past 12 months below poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months below poverty level
19,Iowa,B17020_003,41623,3524,2016,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
19,Iowa,B17020_010,2674960,12482,2016,Estimate!!Total!!Income in the past 12 months at or above poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months at or above poverty level
19,Iowa,B17020_011,191206,4322,2016,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
19,Iowa,B17020_001,3044685,1941,2017,Estimate!!Total,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Total
19,Iowa,B17020_002,326636,11546,2017,Estimate!!Total!!Income in the past 12 months below poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months below poverty level
19,Iowa,B17020_003,36318,3515,2017,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
