GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B17006_004,11670,1842,2009,Estimate!!Total!!Income in the past 12 months below poverty level!!In married-couple family!!Under 5 years,POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 5 years
19,Iowa,B17006_005,2035,678,2009,Estimate!!Total!!Income in the past 12 months below poverty level!!In married-couple family!!5 years,POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,5 years
19,Iowa,B17006_009,4370,1386,2009,"Estimate!!Total!!Income in the past 12 months below poverty level!!In other family!!Male householder, no wife present!!Under 5 years",POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 5 years
19,Iowa,B17006_010,709,410,2009,"Estimate!!Total!!Income in the past 12 months below poverty level!!In other family!!Male householder, no wife present!!5 years",POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,5 years
19,Iowa,B17006_013,24348,2750,2009,"Estimate!!Total!!Income in the past 12 months below poverty level!!In other family!!Female householder, no husband present!!Under 5 years",POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 5 years
19,Iowa,B17006_014,2951,796,2009,"Estimate!!Total!!Income in the past 12 months below poverty level!!In other family!!Female householder, no husband present!!5 years",POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,5 years
19,Iowa,B17006_018,127208,3860,2009,Estimate!!Total!!Income in the past 12 months at or above poverty level!!In married-couple family!!Under 5 years,POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 5 years
19,Iowa,B17006_019,24702,2179,2009,Estimate!!Total!!Income in the past 12 months at or above poverty level!!In married-couple family!!5 years,POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,5 years
19,Iowa,B17006_023,10656,1665,2009,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!In other family!!Male householder, no wife present!!Under 5 years",POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 5 years
19,Iowa,B17006_024,2296,805,2009,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!In other family!!Male householder, no wife present!!5 years",POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,5 years
19,Iowa,B17006_027,17457,2239,2009,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!In other family!!Female householder, no husband present!!Under 5 years",POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 5 years
19,Iowa,B17006_028,3916,935,2009,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!In other family!!Female householder, no husband present!!5 years",POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,5 years
19,Iowa,B17006_004,11663,2071,2010,Estimate!!Total!!Income in the past 12 months below poverty level!!In married-couple family!!Under 5 years,NA,Under 5 years
19,Iowa,B17006_005,2635,740,2010,Estimate!!Total!!Income in the past 12 months below poverty level!!In married-couple family!!5 years,NA,5 years
19,Iowa,B17006_009,3253,957,2010,"Estimate!!Total!!Income in the past 12 months below poverty level!!In other family!!Male householder, no wife present!!Under 5 years",NA,Under 5 years
19,Iowa,B17006_010,597,377,2010,"Estimate!!Total!!Income in the past 12 months below poverty level!!In other family!!Male householder, no wife present!!5 years",NA,5 years
19,Iowa,B17006_013,24377,3228,2010,"Estimate!!Total!!Income in the past 12 months below poverty level!!In other family!!Female householder, no husband present!!Under 5 years",NA,Under 5 years
19,Iowa,B17006_014,3460,904,2010,"Estimate!!Total!!Income in the past 12 months below poverty level!!In other family!!Female householder, no husband present!!5 years",NA,5 years
19,Iowa,B17006_018,131598,3439,2010,Estimate!!Total!!Income in the past 12 months at or above poverty level!!In married-couple family!!Under 5 years,NA,Under 5 years
19,Iowa,B17006_019,27347,1913,2010,Estimate!!Total!!Income in the past 12 months at or above poverty level!!In married-couple family!!5 years,NA,5 years
19,Iowa,B17006_023,10587,1549,2010,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!In other family!!Male householder, no wife present!!Under 5 years",NA,Under 5 years
19,Iowa,B17006_024,2694,755,2010,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!In other family!!Male householder, no wife present!!5 years",NA,5 years
19,Iowa,B17006_027,15002,2063,2010,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!In other family!!Female householder, no husband present!!Under 5 years",NA,Under 5 years
19,Iowa,B17006_028,4329,802,2010,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!In other family!!Female householder, no husband present!!5 years",NA,5 years
19,Iowa,B17006_004,12251,1865,2011,Estimate!!Total!!Income in the past 12 months below poverty level!!In married-couple family!!Under 5 years,NA,Under 5 years
19,Iowa,B17006_005,1529,461,2011,Estimate!!Total!!Income in the past 12 months below poverty level!!In married-couple family!!5 years,NA,5 years
19,Iowa,B17006_009,3571,849,2011,"Estimate!!Total!!Income in the past 12 months below poverty level!!In other family!!Male householder, no wife present!!Under 5 years",NA,Under 5 years
19,Iowa,B17006_010,866,567,2011,"Estimate!!Total!!Income in the past 12 months below poverty level!!In other family!!Male householder, no wife present!!5 years",NA,5 years
19,Iowa,B17006_013,23270,2400,2011,"Estimate!!Total!!Income in the past 12 months below poverty level!!In other family!!Female householder, no husband present!!Under 5 years",NA,Under 5 years
19,Iowa,B17006_014,4304,1057,2011,"Estimate!!Total!!Income in the past 12 months below poverty level!!In other family!!Female householder, no husband present!!5 years",NA,5 years
19,Iowa,B17006_018,127853,3937,2011,Estimate!!Total!!Income in the past 12 months at or above poverty level!!In married-couple family!!Under 5 years,NA,Under 5 years
19,Iowa,B17006_019,26235,2314,2011,Estimate!!Total!!Income in the past 12 months at or above poverty level!!In married-couple family!!5 years,NA,5 years
19,Iowa,B17006_023,9733,1771,2011,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!In other family!!Male householder, no wife present!!Under 5 years",NA,Under 5 years
19,Iowa,B17006_024,1863,589,2011,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!In other family!!Male householder, no wife present!!5 years",NA,5 years
19,Iowa,B17006_027,18833,1975,2011,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!In other family!!Female householder, no husband present!!Under 5 years",NA,Under 5 years
19,Iowa,B17006_028,4809,1166,2011,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!In other family!!Female householder, no husband present!!5 years",NA,5 years
19,Iowa,B17006_004,10533,1832,2012,Estimate!!Total!!Income in the past 12 months below poverty level!!In married-couple family!!Under 5 years,POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 5 years
