GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B09018_002,666729,5246,2012,Estimate!!Total!!Own child,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Own child
19,Iowa,B09018_006,33399,3584,2012,Estimate!!Total!!Grandchild,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Grandchild
19,Iowa,B09018_007,7241,1456,2012,Estimate!!Total!!Other relatives,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Other relatives
19,Iowa,B09018_008,12142,2303,2012,Estimate!!Total!!Foster child or other unrelated child,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Foster child or other unrelated child
19,Iowa,B09018_002,664259,4958,2013,Estimate!!Total!!Own child,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Own child
19,Iowa,B09018_006,34008,3795,2013,Estimate!!Total!!Grandchild,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Grandchild
19,Iowa,B09018_007,9301,2153,2013,Estimate!!Total!!Other relatives,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Other relatives
19,Iowa,B09018_008,12547,1831,2013,Estimate!!Total!!Foster child or other unrelated child,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Foster child or other unrelated child
19,Iowa,B09018_002,667160,4399,2014,Estimate!!Total!!Own child,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Own child
19,Iowa,B09018_006,30365,2666,2014,Estimate!!Total!!Grandchild,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Grandchild
19,Iowa,B09018_007,9553,1733,2014,Estimate!!Total!!Other relatives,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Other relatives
19,Iowa,B09018_008,15372,2190,2014,Estimate!!Total!!Foster child or other unrelated child,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Foster child or other unrelated child
19,Iowa,B09018_002,668216,5067,2015,Estimate!!Total!!Own child,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Own child
19,Iowa,B09018_006,33811,3094,2015,Estimate!!Total!!Grandchild,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Grandchild
19,Iowa,B09018_007,9678,1919,2015,Estimate!!Total!!Other relatives,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Other relatives
19,Iowa,B09018_008,13910,2528,2015,Estimate!!Total!!Foster child or other unrelated child,RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,Foster child or other unrelated child
