GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B01001H_003,84672,655,2009,Estimate!!Total!!Male!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_018,80443,627,2009,Estimate!!Total!!Female!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_003,81094,685,2010,Estimate!!Total!!Male!!Under 5 years,NA,Under 5 years
19,Iowa,B01001H_018,77132,892,2010,Estimate!!Total!!Female!!Under 5 years,NA,Under 5 years
19,Iowa,B01001H_003,80719,583,2011,Estimate!!Total!!Male!!Under 5 years,NA,Under 5 years
19,Iowa,B01001H_018,76265,565,2011,Estimate!!Total!!Female!!Under 5 years,NA,Under 5 years
19,Iowa,B01001H_003,78849,515,2012,Estimate!!Total!!Male!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_018,76093,484,2012,Estimate!!Total!!Female!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_003,77560,556,2013,Estimate!!Total!!Male!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_018,75215,577,2013,Estimate!!Total!!Female!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_003,77826,280,2014,Estimate!!Total!!Male!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_018,74475,349,2014,Estimate!!Total!!Female!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_003,78377,556,2015,Estimate!!Total!!Male!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_018,74765,576,2015,Estimate!!Total!!Female!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_003,79279,557,2016,Estimate!!Total!!Male!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_018,74544,685,2016,Estimate!!Total!!Female!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_003,78104,785,2017,Estimate!!Total!!Male!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_018,74769,782,2017,Estimate!!Total!!Female!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_003,78332,937,2018,Estimate!!Total!!Male!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_018,73062,1186,2018,Estimate!!Total!!Female!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_003,76359,897,2019,Estimate!!Total:!!Male:!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B01001H_018,71753,770,2019,Estimate!!Total:!!Female:!!Under 5 years,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
