GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B17020H_003,29154,3008,2009,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 5 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B17020H_011,133974,3177,2009,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 5 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B17020H_003,21819,2069,2010,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 5 years,NA,Under 5 years
19,Iowa,B17020H_011,134080,2382,2010,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 5 years,NA,Under 5 years
19,Iowa,B17020H_003,23696,2520,2011,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 5 years,NA,Under 5 years
19,Iowa,B17020H_011,131501,2607,2011,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 5 years,NA,Under 5 years
19,Iowa,B17020H_003,22498,2280,2012,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 5 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B17020H_011,131319,2321,2012,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 5 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 5 years
19,Iowa,B17020H_003,23773,2655,2013,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_011,160383,3938,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_003,22003,2343,2014,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_011,157629,3061,2014,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_003,19083,2523,2015,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_011,163053,3601,2015,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_003,22956,2880,2016,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_011,158381,3629,2016,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_003,18793,2433,2017,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_011,160327,3101,2017,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_003,19395,2537,2018,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_011,160071,2937,2018,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_003,22289,3139,2019,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
19,Iowa,B17020H_011,155506,3510,2019,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Under 6 years,"POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",Under 6 years
