GEOID,NAME,year,B13014_tlesshigh,B13014_thigh,B13014_tsc,B13014_tba,B13014_tgrad,B13014_plesshigh,B13014_phigh,B13014_psc,B13014_pba,B13014_pgrad,B13014_pbaplus,B13014_pm,B13014_plesshighm,B13014_phighm,B13014_pscm,B13014_pbam,B13014_pgradm,B13014_pbaplusm,B13014_pum,B13014_plesshighum,B13014_phighum,B13014_pscum,B13014_pbaum,B13014_pgradum,B13014_pbaplusum,B23008_tu6,B23008_til,B23008_pil,B23008_tnl,B23008_pnl,B17020_tpop,B17020_tup,B17020_top,B17020_pup,B17020_tup6,B17020_t6,B17020_pup6,B17020_tup6wa,B17020_t6wa,B17020_pup6wa,B17020_t6m,B17020_tup6m,B17020_pup6m,B17020_pup6w,B17020_pup6b,B17020_pup6n,B17020_pup6a,B17020_pup6pci,B17020_pup6s,B17020_pup6t,B17020_pup6l
19,Statewide,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226520,164031,0.7241347342398022,15065,0.0665062687621402,NA,NA,NA,NA,NA,NA,NA,22565,157943,0.14286799668234743,NA,NA,NA,0.15660550787265282,0.48843891093172803,0.5103092783505154,0.09615915998894722,0.8403361344537815,0.30863073561544063,0.36280348144754926,0.36363636363636365
19,Statewide,2010,4648,9811,15718,9817,3182,0.10765239948119326,0.22723272188252733,0.36404483972577356,0.2273716879748008,0.07369835093570502,0.3010700389105058,0.6982119696127478,0.05688980295893319,0.17737013202414914,0.36087706495057387,0.3027930737079546,0.10206992635838917,0.4048630000663438,0.30178803038725216,0.22509593246354567,0.34259401381427473,0.3713737528779739,0.05287797390636992,0.008058326937835763,0.060936300844205676,230724,169790,0.7359009032437024,14558,0.06309703368526898,NA,NA,NA,NA,NA,NA,NA,22200,155329,0.14292244204237456,NA,NA,NA,0.1586790416056061,0.5143385753931545,0.34711779448621555,0.07593201754385964,0.7954545454545454,0.36606665478524325,0.36875891583452214,0.38286392575806627
19,Statewide,2011,4336,9139,14967,9967,3496,0.10347213936284452,0.21808853358787733,0.357165016107863,0.23784751223004416,0.08342679871137096,0.3212743109414151,0.6960505906216442,0.05464893033461327,0.16720378496982996,0.34698985189248494,0.31486560614371917,0.11629182665935271,0.43115743280307184,0.3039494093783558,0.21527832299599592,0.33461568658239776,0.38046635785506794,0.061474444531679356,0.008165188034859073,0.06963963256653843,232037,172258,0.7423729836189918,14717,0.06342522959700393,NA,NA,NA,NA,NA,NA,NA,22256,155459,0.14316314912613615,NA,NA,NA,0.15785718140444083,0.5216028654578017,0.3345280764635603,0.08390892811460732,0.8351063829787234,0.3976083707025411,0.3576974842116161,0.38100170922463356
19,Statewide,2012,4242,8923,15270,9798,3562,0.1014953941859074,0.21349443713362842,0.3653547075008972,0.2344299557363321,0.08522550544323483,0.31965546117956695,0.6872353152290944,0.05375483062354211,0.15907112766772272,0.3494760296626397,0.31699335027678166,0.12070466176931378,0.4376980120460955,0.31276468477090563,0.2063953488372093,0.333078335373317,0.40024479804161567,0.0530140758873929,0.007267441860465116,0.06028151774785802,232656,173448,0.7455126882607799,14954,0.06427515301561103,NA,NA,NA,NA,NA,NA,NA,23527,155358,0.15143732540326213,NA,NA,NA,0.1661351220358658,0.5521446143972617,0.4638036809815951,0.0713128038897893,0.8933333333333333,0.3830734966592428,0.32791654127796166,0.3735116785732381
19,Statewide,2013,4181,8425,14778,9520,3430,0.10365944364555958,0.20888084494471165,0.3663906381712699,0.23602915654286705,0.08503991669559181,0.32106907323845885,0.6826250805771805,0.058765844622816255,0.15265317982057894,0.34445937602150145,0.32288526495478154,0.12123633458032179,0.44412159953510333,0.3173749194228195,0.20021873291149128,0.32981798297008047,0.41356144051245997,0.04921490508554019,0.007186938520428092,0.05640184360596828,232181,174499,0.7515645121693851,14421,0.06211102544997222,2963129,367414,2595715,0.1239952766146867,44652,235202,0.18984532444452004,26928,186440,0.14443252520918257,48762,17724,0.363479758828596,0.15809881735343684,0.5362862633842774,0.4810126582278481,0.07456240054557854,0.3310810810810811,0.4172010562052056,0.32015585680655895,0.3601748875116733
19,Statewide,2014,4302,8269,14509,9249,3710,0.10744524089013212,0.20652363945153476,0.36237168760458555,0.23099977521916132,0.09265965683458628,0.3236594320537476,0.6836584330277979,0.06013224710481131,0.15387425565338106,0.3384356847988894,0.316552807511051,0.13100500493186717,0.4475578124429182,0.3163415669722021,0.2096952471182694,0.3203063319122059,0.4141007421443234,0.046107689878414654,0.009789988946786673,0.05589767882520132,231585,174232,0.7523457909622817,13546,0.05849256212621715,2978240,373867,2604373,0.12553286504781347,43208,234718,0.18408473146499205,25376,185060,0.13712309521236357,49658,17832,0.359096218132023,0.14970077738234885,0.5467548721616307,0.4427020506634499,0.14022452870154628,0.27848101265822783,0.45404372744640203,0.3154716981132075,0.33337545810691266
19,Statewide,2015,4093,8010,14878,9613,3737,0.10148520988817535,0.19860653095633632,0.36889737422826113,0.23835263197044457,0.09265825295678262,0.3310108849272272,0.6838908036002083,0.06475237473714741,0.14299180625045319,0.33888042926546297,0.32387064027264156,0.12950474947429483,0.4533753897469364,0.31610919639979174,0.18095536904855283,0.31892697466467956,0.43383794807435877,0.053337516667973955,0.012942191544434857,0.06627970821240882,231180,173892,0.7521930962886063,13506,0.05842200882429276,2992774,373883,2618891,0.12492857796813257,41769,234366,0.17822124369575792,23929,183505,0.13039971662897468,50861,17840,0.35075991427616443,0.14434379650251175,0.5474173271385625,0.4433497536945813,0.17709953343701398,0.2794759825327511,0.3936457863902659,0.30156699712184204,0.3273816955924585
19,Statewide,2016,4025,7668,15531,9941,3944,0.0979104332384636,0.18652849740932642,0.3778004816463548,0.24182052591889855,0.09594006178695663,0.33776058770585515,0.6854703349631468,0.06664537421484083,0.1314454026047766,0.34277298697611697,0.3246744029241634,0.1344618332801022,0.4591362362042656,0.31452966503685326,0.16604795050270688,0.3065738592420727,0.45413766434648106,0.06125290023201856,0.011987625676720804,0.07324052590873936,230968,173476,0.7510824010252503,13720,0.05940216826573378,3005808,369828,2635980,0.12303779882148161,41058,234036,0.17543454853099524,22819,181876,0.12546460225648243,52160,18239,0.34967407975460124,0.14240482472672447,0.5167398227041914,0.4602739726027397,0.1723756906077348,0.44660194174757284,0.3850105066542143,0.28841607565011823,0.34095332753551166
19,Statewide,2017,4271,8012,15025,10037,4398,0.10231655606928108,0.1919363725654601,0.35994058884124286,0.24044750017967084,0.10535898234434515,0.345806482524016,0.6973384759121289,0.07142120993507163,0.13545638805867602,0.333814284241987,0.3141296506235185,0.14517846714074684,0.45930811776426533,0.302661524087871,0.17350007915149596,0.3220674370745607,0.4201361405730568,0.07068228589520342,0.013614057305683077,0.0842963432008865,230457,173222,0.7516456432219459,12558,0.054491727307046434,3016358,361343,2655015,0.11979446736760027,38998,233487,0.16702428829014035,21084,180294,0.11694232753169823,53193,17914,0.3367736356287481,0.13412093136164102,0.5339310829817159,0.29846938775510207,0.17030272281413833,0.4091816367265469,0.3773220747889023,0.26035593740411167,0.328309035499547
19,Statewide,2018,4099,8106,15037,10330,4537,0.09734261084328766,0.19250041558811656,0.3570970576361348,0.24531572822911968,0.10774418770334133,0.353059915932461,0.699921631955164,0.07152308892885013,0.1336477453940895,0.3290808536626743,0.3190716927357242,0.14667661927866182,0.46574831201438605,0.300078368044836,0.15756568534346313,0.3297720797720798,0.4224438113327002,0.07328268439379551,0.016935739157961382,0.09021842355175688,231043,173404,0.7505269581852728,12465,0.053950996134918605,3030572,353634,2676938,0.11668886269654706,37701,234030,0.16109473144468658,20181,179507,0.11242458511367245,54523,17520,0.3213322817893366,0.12837474781268693,0.4910810586575956,0.3052749719416386,0.150638750887154,0.4924731182795699,0.38175420960040213,0.2612875036411302,0.3098735210118319
