GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19001,Adair ,B11004_004,152,55,2009,Estimate!!Total!!Married-couple family!!With related children under 18 years!!Under 6 years only,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years only
19001,Adair ,B11004_005,86,35,2009,Estimate!!Total!!Married-couple family!!With related children under 18 years!!Under 6 years and 6 to 17 years,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years and 6 to 17 years
19001,Adair ,B11004_011,3,6,2009,"Estimate!!Total!!Other family!!Male householder, no wife present!!With related children under 18 years!!Under 6 years only",FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years only
19001,Adair ,B11004_012,0,99,2009,"Estimate!!Total!!Other family!!Male householder, no wife present!!With related children under 18 years!!Under 6 years and 6 to 17 years",FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years and 6 to 17 years
19001,Adair ,B11004_017,27,23,2009,"Estimate!!Total!!Other family!!Female householder, no husband present!!With related children under 18 years!!Under 6 years only",FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years only
19001,Adair ,B11004_018,31,20,2009,"Estimate!!Total!!Other family!!Female householder, no husband present!!With related children under 18 years!!Under 6 years and 6 to 17 years",FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years and 6 to 17 years
19003,Adams ,B11004_004,58,32,2009,Estimate!!Total!!Married-couple family!!With related children under 18 years!!Under 6 years only,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years only
19003,Adams ,B11004_005,40,26,2009,Estimate!!Total!!Married-couple family!!With related children under 18 years!!Under 6 years and 6 to 17 years,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years and 6 to 17 years
19003,Adams ,B11004_011,2,4,2009,"Estimate!!Total!!Other family!!Male householder, no wife present!!With related children under 18 years!!Under 6 years only",FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years only
19003,Adams ,B11004_012,26,23,2009,"Estimate!!Total!!Other family!!Male householder, no wife present!!With related children under 18 years!!Under 6 years and 6 to 17 years",FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years and 6 to 17 years
19003,Adams ,B11004_017,7,11,2009,"Estimate!!Total!!Other family!!Female householder, no husband present!!With related children under 18 years!!Under 6 years only",FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years only
19003,Adams ,B11004_018,8,8,2009,"Estimate!!Total!!Other family!!Female householder, no husband present!!With related children under 18 years!!Under 6 years and 6 to 17 years",FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years and 6 to 17 years
19005,Allamakee ,B11004_004,275,112,2009,Estimate!!Total!!Married-couple family!!With related children under 18 years!!Under 6 years only,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years only
19005,Allamakee ,B11004_005,293,102,2009,Estimate!!Total!!Married-couple family!!With related children under 18 years!!Under 6 years and 6 to 17 years,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years and 6 to 17 years
19005,Allamakee ,B11004_011,28,26,2009,"Estimate!!Total!!Other family!!Male householder, no wife present!!With related children under 18 years!!Under 6 years only",FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years only
19005,Allamakee ,B11004_012,11,12,2009,"Estimate!!Total!!Other family!!Male householder, no wife present!!With related children under 18 years!!Under 6 years and 6 to 17 years",FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years and 6 to 17 years
19005,Allamakee ,B11004_017,101,81,2009,"Estimate!!Total!!Other family!!Female householder, no husband present!!With related children under 18 years!!Under 6 years only",FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years only
19005,Allamakee ,B11004_018,65,40,2009,"Estimate!!Total!!Other family!!Female householder, no husband present!!With related children under 18 years!!Under 6 years and 6 to 17 years",FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years and 6 to 17 years
19007,Appanoose ,B11004_004,306,97,2009,Estimate!!Total!!Married-couple family!!With related children under 18 years!!Under 6 years only,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years only
19007,Appanoose ,B11004_005,196,75,2009,Estimate!!Total!!Married-couple family!!With related children under 18 years!!Under 6 years and 6 to 17 years,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,Under 6 years and 6 to 17 years
