GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19001,Adair ,B25012_001,3409,104,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
19001,Adair ,B25012_005,117,40,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
19001,Adair ,B25012_006,114,42,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
19001,Adair ,B25012_013,38,22,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
19001,Adair ,B25012_014,76,39,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
19003,Adams ,B25012_001,1764,121,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
19003,Adams ,B25012_005,72,38,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
19003,Adams ,B25012_006,38,27,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
19003,Adams ,B25012_013,8,9,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
19003,Adams ,B25012_014,8,12,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
19005,Allamakee ,B25012_001,5807,186,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
19005,Allamakee ,B25012_005,236,81,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
19005,Allamakee ,B25012_006,261,83,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
19005,Allamakee ,B25012_013,31,30,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
19005,Allamakee ,B25012_014,84,45,2010,Estimate!!Total!!Renter-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
19007,Appanoose ,B25012_001,5573,207,2010,Estimate!!Total,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Total
19007,Appanoose ,B25012_005,259,99,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years only,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years only
19007,Appanoose ,B25012_006,186,55,2010,Estimate!!Total!!Owner-occupied housing units!!With related children under 18!!With own children under 18!!Under 6 years and 6 to 17 years,TENURE BY FAMILIES AND PRESENCE OF OWN CHILDREN,Under 6 years and 6 to 17 years
