GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B23008_002,230225,3200,2009,Estimate!!Total!!Under 6 years,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,Under 6 years
19,Iowa,B23008_003,159941,4278,2009,Estimate!!Total!!Under 6 years!!Living with two parents,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,Living with two parents
19,Iowa,B23008_004,116426,4619,2009,Estimate!!Total!!Under 6 years!!Living with two parents!!Both parents in labor force,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,Both parents in labor force
19,Iowa,B23008_005,37250,2951,2009,Estimate!!Total!!Under 6 years!!Living with two parents!!Father only in labor force,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,Father only in labor force
19,Iowa,B23008_006,4814,1328,2009,Estimate!!Total!!Under 6 years!!Living with two parents!!Mother only in labor force,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,Mother only in labor force
19,Iowa,B23008_007,1451,675,2009,Estimate!!Total!!Under 6 years!!Living with two parents!!Neither parent in labor force,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,Neither parent in labor force
19,Iowa,B23008_009,18143,2305,2009,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with father,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,Living with father
19,Iowa,B23008_010,17324,2273,2009,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with father!!In labor force,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,In labor force
19,Iowa,B23008_011,819,421,2009,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with father!!Not in labor force,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,Not in labor force
19,Iowa,B23008_012,52141,3682,2009,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with mother,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,Living with mother
19,Iowa,B23008_013,39809,3288,2009,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with mother!!In labor force,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,In labor force
19,Iowa,B23008_014,12332,2392,2009,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with mother!!Not in labor force,AGE OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS BY EMPLOYMENT STATUS OF PARENTS,Not in labor force
19,Iowa,B23008_002,234793,3254,2010,Estimate!!Total!!Under 6 years,NA,Under 6 years
19,Iowa,B23008_003,165879,4128,2010,Estimate!!Total!!Under 6 years!!Living with two parents,NA,Living with two parents
19,Iowa,B23008_004,120938,4319,2010,Estimate!!Total!!Under 6 years!!Living with two parents!!Both parents in labor force,NA,Both parents in labor force
19,Iowa,B23008_005,38669,3587,2010,Estimate!!Total!!Under 6 years!!Living with two parents!!Father only in labor force,NA,Father only in labor force
19,Iowa,B23008_006,4102,1077,2010,Estimate!!Total!!Under 6 years!!Living with two parents!!Mother only in labor force,NA,Mother only in labor force
19,Iowa,B23008_007,2170,1012,2010,Estimate!!Total!!Under 6 years!!Living with two parents!!Neither parent in labor force,NA,Neither parent in labor force
19,Iowa,B23008_009,17792,2466,2010,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with father,NA,Living with father
19,Iowa,B23008_010,16526,2377,2010,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with father!!In labor force,NA,In labor force
19,Iowa,B23008_011,1266,463,2010,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with father!!Not in labor force,NA,Not in labor force
19,Iowa,B23008_012,51122,4052,2010,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with mother,NA,Living with mother
19,Iowa,B23008_013,40095,3097,2010,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with mother!!In labor force,NA,In labor force
19,Iowa,B23008_014,11027,1983,2010,Estimate!!Total!!Under 6 years!!Living with one parent!!Living with mother!!Not in labor force,NA,Not in labor force
19,Iowa,B23008_002,231649,3634,2011,Estimate!!Total!!Under 6 years,NA,Under 6 years
19,Iowa,B23008_003,161129,4336,2011,Estimate!!Total!!Under 6 years!!Living with two parents,NA,Living with two parents
19,Iowa,B23008_004,113769,4571,2011,Estimate!!Total!!Under 6 years!!Living with two parents!!Both parents in labor force,NA,Both parents in labor force
