GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B07001_002,162835,2462,2010,Estimate!!Total!!1 to 4 years,NA,1 to 4 years
19,Iowa,B07001_018,132886,3429,2010,Estimate!!Total!!Same house 1 year ago!!1 to 4 years,NA,1 to 4 years
19,Iowa,B07001_034,18401,2255,2010,Estimate!!Total!!Moved within same county!!1 to 4 years,NA,1 to 4 years
19,Iowa,B07001_050,6325,1210,2010,Estimate!!Total!!Moved from different county within same state!!1 to 4 years,NA,1 to 4 years
19,Iowa,B07001_066,4528,968,2010,Estimate!!Total!!Moved from different state!!1 to 4 years,NA,1 to 4 years
19,Iowa,B07001_082,695,420,2010,Estimate!!Total!!Moved from abroad!!1 to 4 years,NA,1 to 4 years
19,Iowa,B07001_002,163611,2686,2011,Estimate!!Total!!1 to 4 years,NA,1 to 4 years
19,Iowa,B07001_018,132049,3488,2011,Estimate!!Total!!Same house 1 year ago!!1 to 4 years,NA,1 to 4 years
19,Iowa,B07001_034,18635,2209,2011,Estimate!!Total!!Moved within same county!!1 to 4 years,NA,1 to 4 years
19,Iowa,B07001_050,8182,1464,2011,Estimate!!Total!!Moved from different county within same state!!1 to 4 years,NA,1 to 4 years
19,Iowa,B07001_066,3836,986,2011,Estimate!!Total!!Moved from different state!!1 to 4 years,NA,1 to 4 years
19,Iowa,B07001_082,909,767,2011,Estimate!!Total!!Moved from abroad!!1 to 4 years,NA,1 to 4 years
19,Iowa,B07001_002,157280,2970,2012,Estimate!!Total!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19,Iowa,B07001_018,127022,4126,2012,Estimate!!Total!!Same house 1 year ago!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19,Iowa,B07001_034,19880,2387,2012,Estimate!!Total!!Moved within same county!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19,Iowa,B07001_050,5396,938,2012,Estimate!!Total!!Moved from different county within same state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19,Iowa,B07001_066,4795,1050,2012,Estimate!!Total!!Moved from different state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19,Iowa,B07001_082,187,176,2012,Estimate!!Total!!Moved from abroad!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
19,Iowa,B07001_002,156296,3146,2013,Estimate!!Total!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,1 to 4 years
