GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B13014_002,41387,2719,2010,Estimate!!Total!!Women who had a birth in the past 12 months,NA,Women who had a birth in the past 12 months
19,Iowa,B13014_004,1918,754,2010,Estimate!!Total!!Women who had a birth in the past 12 months!!Now married (including separated and spouse absent)!!Less than high school graduate,NA,Less than high school graduate
19,Iowa,B13014_005,4416,924,2010,Estimate!!Total!!Women who had a birth in the past 12 months!!Now married (including separated and spouse absent)!!High school graduate (includes equivalency),NA,High school graduate (includes equivalency)
19,Iowa,B13014_006,11463,1418,2010,Estimate!!Total!!Women who had a birth in the past 12 months!!Now married (including separated and spouse absent)!!Some college or associate's degree,NA,Some college or associate's degree
19,Iowa,B13014_007,7796,1177,2010,Estimate!!Total!!Women who had a birth in the past 12 months!!Now married (including separated and spouse absent)!!Bachelor's degree,NA,Bachelor's degree
19,Iowa,B13014_008,3158,809,2010,Estimate!!Total!!Women who had a birth in the past 12 months!!Now married (including separated and spouse absent)!!Graduate or professional degree,NA,Graduate or professional degree
19,Iowa,B13014_009,12636,1787,2010,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed and divorced)",NA,"Unmarried (never married, widowed and divorced)"
19,Iowa,B13014_010,3959,1068,2010,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed and divorced)!!Less than high school graduate",NA,Less than high school graduate
19,Iowa,B13014_011,3989,825,2010,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed and divorced)!!High school graduate (includes equivalency)",NA,High school graduate (includes equivalency)
19,Iowa,B13014_012,3929,1048,2010,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed and divorced)!!Some college or associate's degree",NA,Some college or associate's degree
19,Iowa,B13014_013,716,461,2010,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed and divorced)!!Bachelor's degree",NA,Bachelor's degree
19,Iowa,B13014_014,43,70,2010,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed and divorced)!!Graduate or professional degree",NA,Graduate or professional degree
19,Iowa,B13014_002,37621,2983,2011,Estimate!!Total!!Women who had a birth in the past 12 months,NA,Women who had a birth in the past 12 months
19,Iowa,B13014_004,1159,446,2011,Estimate!!Total!!Women who had a birth in the past 12 months!!Now married (including separated and spouse absent)!!Less than high school graduate,NA,Less than high school graduate
19,Iowa,B13014_005,4068,931,2011,Estimate!!Total!!Women who had a birth in the past 12 months!!Now married (including separated and spouse absent)!!High school graduate (includes equivalency),NA,High school graduate (includes equivalency)
19,Iowa,B13014_006,7953,1191,2011,Estimate!!Total!!Women who had a birth in the past 12 months!!Now married (including separated and spouse absent)!!Some college or associate's degree,NA,Some college or associate's degree
19,Iowa,B13014_007,8819,1470,2011,Estimate!!Total!!Women who had a birth in the past 12 months!!Now married (including separated and spouse absent)!!Bachelor's degree,NA,Bachelor's degree
19,Iowa,B13014_008,3775,866,2011,Estimate!!Total!!Women who had a birth in the past 12 months!!Now married (including separated and spouse absent)!!Graduate or professional degree,NA,Graduate or professional degree
19,Iowa,B13014_009,11847,1798,2011,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed and divorced)",NA,"Unmarried (never married, widowed and divorced)"
19,Iowa,B13014_010,2936,897,2011,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed and divorced)!!Less than high school graduate",NA,Less than high school graduate
19,Iowa,B13014_011,3340,1011,2011,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed and divorced)!!High school graduate (includes equivalency)",NA,High school graduate (includes equivalency)
19,Iowa,B13014_012,4618,902,2011,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed and divorced)!!Some college or associate's degree",NA,Some college or associate's degree
19,Iowa,B13014_013,779,491,2011,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed and divorced)!!Bachelor's degree",NA,Bachelor's degree
19,Iowa,B13014_014,174,153,2011,"Estimate!!Total!!Women who had a birth in the past 12 months!!Unmarried (never married, widowed and divorced)!!Graduate or professional degree",NA,Graduate or professional degree
