GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
1900006,North Fayette ,B01001_003,197,55,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900006,North Fayette ,B01001_027,111,41,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1900009,Colfax-Mingo ,B01001_003,255,87,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900009,Colfax-Mingo ,B01001_027,247,78,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1900015,Sibley-Ocheyedan ,B01001_003,174,14,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900015,Sibley-Ocheyedan ,B01001_027,177,26,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1900021,Okoboji ,B01001_003,112,41,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900021,Okoboji ,B01001_027,160,58,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1900022,Union ,B01001_003,223,66,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900022,Union ,B01001_027,177,64,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1900023,Sioux Central ,B01001_003,50,24,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900023,Sioux Central ,B01001_027,47,29,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1900024,Southern Cal ,B01001_003,127,46,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900024,Southern Cal ,B01001_027,93,44,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1900025,Panorama ,B01001_003,163,62,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900025,Panorama ,B01001_027,143,34,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1900026,South O'Brien ,B01001_003,207,45,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900026,South O'Brien ,B01001_027,126,41,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1900027,Riverside ,B01001_003,118,40,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900027,Riverside ,B01001_027,121,43,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1900028,Prairie Valley ,B01001_003,98,39,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900028,Prairie Valley ,B01001_027,108,48,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1900040,East Marshall ,B01001_003,94,36,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900040,East Marshall ,B01001_027,90,40,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1900060,GMG ,B01001_003,63,33,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1900060,GMG ,B01001_027,70,50,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903030,Lineville-Clio ,B01001_003,2,4,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903030,Lineville-Clio ,B01001_027,8,10,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903060,AGWSR ,B01001_003,155,55,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903060,AGWSR ,B01001_027,135,53,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903090,Adair-Casey ,B01001_003,63,31,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903090,Adair-Casey ,B01001_027,67,41,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903150,Adel-De Soto-Minburn ,B01001_003,260,86,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903150,Adel-De Soto-Minburn ,B01001_027,257,82,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903220,Akron-Westfield ,B01001_003,80,39,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903220,Akron-Westfield ,B01001_027,118,46,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903240,Albert City-Truesdale ,B01001_003,51,27,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903240,Albert City-Truesdale ,B01001_027,12,10,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903270,Albia ,B01001_003,209,28,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903270,Albia ,B01001_027,209,99,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903300,Alburnett ,B01001_003,52,65,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903300,Alburnett ,B01001_027,47,33,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903330,Alden ,B01001_003,57,33,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903330,Alden ,B01001_027,55,26,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903360,Algona ,B01001_003,306,48,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903360,Algona ,B01001_027,273,46,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903390,Allamakee ,B01001_003,292,57,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903390,Allamakee ,B01001_027,215,62,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903450,Allison-Bristow ,B01001_003,43,28,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903450,Allison-Bristow ,B01001_027,37,19,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903480,Alta ,B01001_003,124,45,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903480,Alta ,B01001_027,100,36,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903540,Ames ,B01001_003,1316,154,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903540,Ames ,B01001_027,1275,136,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903570,Anamosa ,B01001_003,187,57,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903570,Anamosa ,B01001_027,203,67,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903630,Andrew ,B01001_003,45,28,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903630,Andrew ,B01001_027,50,30,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903660,Anita ,B01001_003,65,33,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903660,Anita ,B01001_027,16,13,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903690,Ankeny ,B01001_003,2257,371,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903690,Ankeny ,B01001_027,2003,297,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903720,Anthon-Oto ,B01001_003,41,16,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903720,Anthon-Oto ,B01001_027,41,27,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903750,Aplington-Parkersburg ,B01001_003,113,44,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903750,Aplington-Parkersburg ,B01001_027,173,62,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903780,Ar-We-Va ,B01001_003,70,30,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903780,Ar-We-Va ,B01001_027,32,17,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903850,Armstrong-Ringsted ,B01001_003,90,31,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903850,Armstrong-Ringsted ,B01001_027,109,49,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903930,Atlantic ,B01001_003,269,49,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903930,Atlantic ,B01001_027,255,48,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1903960,Audubon ,B01001_003,103,25,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1903960,Audubon ,B01001_027,99,27,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1904020,Aurelia ,B01001_003,44,24,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1904020,Aurelia ,B01001_027,47,28,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1904080,A-H-S-T ,B01001_003,95,34,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1904080,A-H-S-T ,B01001_027,116,39,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1904200,Ballard ,B01001_003,231,73,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1904200,Ballard ,B01001_027,148,49,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1904320,Battle Creek-Ida Grove ,B01001_003,114,38,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1904320,Battle Creek-Ida Grove ,B01001_027,91,37,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1904380,Baxter ,B01001_003,43,17,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1904380,Baxter ,B01001_027,49,27,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1904440,BCLUW ,B01001_003,49,21,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1904440,BCLUW ,B01001_027,78,38,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1904560,Bedford ,B01001_003,90,25,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1904560,Bedford ,B01001_027,58,21,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1904620,Belle Plaine ,B01001_003,58,29,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1904620,Belle Plaine ,B01001_027,98,48,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1904650,Bellevue ,B01001_003,102,41,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1904650,Bellevue ,B01001_027,138,56,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1904680,Belmond-Klemme ,B01001_003,166,54,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1904680,Belmond-Klemme ,B01001_027,165,61,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1904740,Bennett ,B01001_003,39,20,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
1904740,Bennett ,B01001_027,46,24,2009,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,Under 5 years
1904830,Benton ,B01001_003,267,59,2009,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,Under 5 years
