GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19,Iowa,B09001_002,706388,1967,2009,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
19,Iowa,B09001_003,119679,3508,2009,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
19,Iowa,B09001_004,78976,3441,2009,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
19,Iowa,B09001_005,37487,2666,2009,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
19,Iowa,B09001_002,721443,2153,2010,Estimate!!Total!!In households,NA,In households
19,Iowa,B09001_003,115719,3325,2010,Estimate!!Total!!In households!!Under 3 years,NA,Under 3 years
19,Iowa,B09001_004,83946,3133,2010,Estimate!!Total!!In households!!3 and 4 years,NA,3 and 4 years
19,Iowa,B09001_005,41617,2310,2010,Estimate!!Total!!In households!!5 years,NA,5 years
19,Iowa,B09001_002,720582,2142,2011,Estimate!!Total!!In households,NA,In households
19,Iowa,B09001_003,115949,3553,2011,Estimate!!Total!!In households!!Under 3 years,NA,Under 3 years
19,Iowa,B09001_004,82003,3498,2011,Estimate!!Total!!In households!!3 and 4 years,NA,3 and 4 years
19,Iowa,B09001_005,40327,2903,2011,Estimate!!Total!!In households!!5 years,NA,5 years
19,Iowa,B09001_002,719969,2219,2012,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
19,Iowa,B09001_003,114983,3259,2012,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
19,Iowa,B09001_004,81014,2743,2012,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
19,Iowa,B09001_005,40270,2754,2012,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
19,Iowa,B09001_002,720969,2061,2013,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
19,Iowa,B09001_003,111255,2994,2013,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
19,Iowa,B09001_004,81652,3388,2013,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
19,Iowa,B09001_005,43289,2957,2013,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
19,Iowa,B09001_002,722773,2301,2014,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
19,Iowa,B09001_003,114955,3300,2014,Estimate!!Total!!In households!!Under 3 years,POPULATION UNDER 18 YEARS BY AGE,Under 3 years
19,Iowa,B09001_004,78499,2846,2014,Estimate!!Total!!In households!!3 and 4 years,POPULATION UNDER 18 YEARS BY AGE,3 and 4 years
19,Iowa,B09001_005,39856,2460,2014,Estimate!!Total!!In households!!5 years,POPULATION UNDER 18 YEARS BY AGE,5 years
19,Iowa,B09001_002,726089,2077,2015,Estimate!!Total!!In households,POPULATION UNDER 18 YEARS BY AGE,In households
