GEOID,NAME,variable,estimate,moe,year,label,concept,func_label
19001,Adair ,B17020_001,7421,52,2013,Estimate!!Total,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Total
19001,Adair ,B17020_002,704,141,2013,Estimate!!Total!!Income in the past 12 months below poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months below poverty level
19001,Adair ,B17020_003,61,26,2013,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
19001,Adair ,B17020_010,6717,135,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months at or above poverty level
19001,Adair ,B17020_011,422,45,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
19003,Adams ,B17020_001,3901,35,2013,Estimate!!Total,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Total
19003,Adams ,B17020_002,442,109,2013,Estimate!!Total!!Income in the past 12 months below poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months below poverty level
19003,Adams ,B17020_003,47,29,2013,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
19003,Adams ,B17020_010,3459,110,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months at or above poverty level
19003,Adams ,B17020_011,253,42,2013,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Under 6 years
19005,Allamakee ,B17020_001,13864,123,2013,Estimate!!Total,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Total
19005,Allamakee ,B17020_002,1740,307,2013,Estimate!!Total!!Income in the past 12 months below poverty level,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE,Income in the past 12 months below poverty level
