"","name","year","child_abuse_under_3","child_abuse_3_and_4","child_abuse_5"
"1","Adair",2019,418.918918918919,567.073170731707,1576.27118644068
"2","Adams",2019,457.364341085271,655.555555555556,756.410256410256
"3","Allamakee",2019,242.647058823529,326.732673267327,1109.24369747899
"4","Appanoose",2019,484.210526315789,627.986348122867,615.384615384615
"5","Audubon",2019,427.083333333333,594.202898550725,2827.58620689655
"6","Benton",2019,242.17961654894,410.958904109589,808.080808080808
"7","Black Hawk",2019,360.588716271464,505.154639175258,1128.59884836852
"8","Boone",2019,297.244094488189,598.019801980198,834.254143646409
"9","Bremer",2019,226.845637583893,234.722222222222,502.97619047619
"10","Buchanan",2019,224.137931034483,380.952380952381,589.235127478753
"11","Buena Vista",2019,235.82995951417,457.760314341847,892.72030651341
"12","Butler",2019,281.573498964803,440.129449838188,768.361581920904
"13","Calhoun",2019,379.518072289157,536.170212765957,906.474820143885
"14","Carroll",2019,339.547270306258,459.459459459459,698.630136986301
"15","Cass",2019,478.571428571429,820.408163265306,1175.43859649123
"16","Cedar",2019,231.366459627329,535.971223021583,741.293532338308
"17","Cerro Gordo",2019,496.727272727273,733.619763694952,1792.65091863517
"18","Cherokee",2019,321.256038647343,554.166666666667,751.412429378531
"19","Chickasaw",2019,200.431034482759,359.073359073359,407.894736842105
"20","Clarke",2019,424.36974789916,1020.20202020202,1853.21100917431
"21","Clay",2019,415.44885177453,343.696027633851,2369.04761904762
"22","Clayton",2019,290.262172284644,373.493975903614,620
"23","Clinton",2019,469.865418373318,740.774907749078,1583.82642998028
"24","Crawford",2019,434.298440979955,293.674698795181,851.528384279476
"25","Dallas",2019,132.377945105659,207.38203957382,328.313253012048
"26","Davis",2019,168.604651162791,301.038062283737,554.140127388535
"27","Decatur",2019,346.40522875817,554.973821989529,1292.68292682927
"28","Delaware",2019,234.991423670669,250.915750915751,1078.74015748032
"29","Des Moines",2019,507.948523845572,687.5,1556.84454756381
"30","Dickinson",2019,275.058275058275,325.068870523416,861.313868613139
"31","Dubuque",2019,298.757428417072,458.540630182421,840.425531914894
"32","Emmet",2019,406.50406504065,1094.89051094891,1304.34782608696
"33","Fayette",2019,468.842729970326,791.979949874687,1356.22317596567
"34","Floyd",2019,459.459459459459,574.025974025974,830.827067669173
"35","Franklin",2019,359.801488833747,721.393034825871,935.483870967742
"36","Fremont",2019,331.858407079646,446.428571428571,1153.84615384615
"37","Greene",2019,410.596026490066,576.744186046512,571.428571428571
"38","Grundy",2019,299.25187032419,458.015267175572,618.556701030928
"39","Guthrie",2019,433.234421364985,643.171806167401,1339.4495412844
"40","Hamilton",2019,389.867841409692,381.465517241379,1164.47368421053
"41","Hancock",2019,205.278592375367,264.150943396226,642.201834862385
"42","Hardin",2019,454.8802946593,828.859060402685,1515.33742331288
"43","Harrison",2019,405.405405405405,571.847507331378,1059.78260869565
"44","Henry",2019,395.061728395062,555.31453362256,1673.20261437908
"45","Howard",2019,268.617021276596,400.793650793651,716.312056737589
"46","Humboldt",2019,370.37037037037,485.82995951417,1333.33333333333
"47","Ida",2019,285.15625,532.846715328467,869.047619047619
"48","Iowa",2019,318.098720292505,433.915211970075,801.84331797235
"49","Jackson",2019,290.233837689133,489.559164733179,611.594202898551
"50","Jasper",2019,425.414364640884,603.583426651736,1357.68261964736
"51","Jefferson",2019,482.435597189696,591.954022988506,1089.94708994709
"52","Johnson",2019,174.645866953559,298.132843587389,521.972132904609
"53","Jones",2019,384.74870017331,485.776805251641,778.947368421053
"54","Keokuk",2019,390.173410404624,496.323529411765,775.862068965517
"55","Kossuth",2019,298.076923076923,434.173669467787,1201.5503875969
"56","Lee",2019,549.356223175966,722.34762979684,2424.24242424242
"57","Linn",2019,328.527534861735,492.471213463242,948.48174684408
"58","Louisa",2019,334.051724137931,917.159763313609,1156.71641791045
"59","Lucas",2019,370.37037037037,421.940928270042,729.92700729927
"60","Lyon",2019,179.53667953668,264.957264957265,447.115384615385
"61","Madison",2019,462.287104622871,374.753451676529,1283.78378378378
"62","Mahaska",2019,361.826697892272,500.810372771475,1030
"63","Marion",2019,311.389759665622,326.754385964912,746.867167919799
"64","Marshall",2019,357.792601576713,584.158415841584,1234.30962343096
"65","Mills",2019,422.163588390501,364.464692482916,987.654320987654
"66","Mitchell",2019,244.897959183673,230.031948881789,642.857142857143
"67","Monona",2019,432.142857142857,707.602339181287,1704.22535211268
"68","Monroe",2019,360,782.608695652174,972.972972972973
"69","Montgomery",2019,482.142857142857,891.509433962264,2589.04109589041
"70","Muscatine",2019,451.219512195122,531.100478468899,1222.01834862385
"71","OBrien",2019,295.608108108108,641.025641025641,961.538461538462
"72","Osceola",2019,331.730769230769,450.980392156863,1277.77777777778
"73","Page",2019,548.693586698337,638.121546961326,1434.78260869565
"74","Palo Alto",2019,292.993630573248,315.068493150685,707.692307692308
"75","Plymouth",2019,274.021352313167,327.195467422096,663.793103448276
"76","Pocahontas",2019,519.80198019802,660.377358490566,1478.87323943662
"77","Polk",2019,288.401253918495,426.110869879867,838.746438746439
"78","Pottawattamie",2019,462.236533957845,702.402135231317,1184.54613653413
"79","Poweshiek",2019,379.373848987109,578.651685393258,1131.86813186813
"80","Ringgold",2019,401.273885350318,453.237410071942,768.292682926829
"81","Sac",2019,235.135135135135,414.285714285714,713.114754098361
"82","Scott",2019,344.180414711669,514.246947082768,979.750107712193
"83","Shelby",2019,347.003154574133,410.44776119403,591.397849462366
"84","Sioux",2019,131.844380403458,156.544054747648,398.692810457516
"85","Story",2019,206.506364922207,360.049321824908,555.133079847909
"86","Tama",2019,406.50406504065,862.068965517241,1785.71428571429
"87","Taylor",2019,430.30303030303,401.129943502825,1075.75757575758
"88","Union",2019,605.820105820106,733.974358974359,2245.09803921569
"89","Van Buren",2019,395.652173913043,489.247311827957,1070.58823529412
"90","Wapello",2019,412.491420727522,772.493573264782,1577.42782152231
"91","Warren",2019,245.234415249871,447.789275634995,840.989399293286
"92","Washington",2019,235.839340885685,440.384615384615,1036.19909502262
"93","Wayne",2019,246.575342465753,426.03550295858,750
"94","Webster",2019,520.681265206813,721.348314606741,1410.98901098901
"95","Winnebago",2019,335.365853658537,464.135021097046,493.273542600897
"96","Winneshiek",2019,226.415094339623,287.234042553192,336.448598130841
"97","Woodbury",2019,445.691095726904,588.77325764743,1346.07065609229
"98","Worth",2019,455,429.245283018868,791.304347826087
"99","Wright",2019,369.351669941061,706.766917293233,949.49494949495
"100","Adair",2018,421.56862745098,477.777777777778,1869.5652173913
"101","Adams",2018,513.761467889908,474.576271186441,622.222222222222
"102","Allamakee",2018,195.840554592721,321.022727272727,926.229508196721
"103","Appanoose",2018,454.148471615721,885.106382978723,563.685636856369
"104","Audubon",2018,407.185628742515,535.433070866142,1416.66666666667
"105","Benton",2018,278.260869565217,428.09364548495,853.333333333333
"106","Black Hawk",2018,331.02766798419,492.212753452836,1181.24118476728
"107","Boone",2018,252.96442687747,479.40074906367,609.52380952381
"108","Bremer",2018,238.805970149254,265.460030165913,455.958549222798
"109","Buchanan",2018,272.529858849077,490.234375,707.042253521127
"110","Buena Vista",2018,310,363.103953147877,792.332268370607
"111","Butler",2018,339.20704845815,478.260869565217,836.95652173913
"112","Calhoun",2018,308.35734870317,502.347417840376,611.428571428571
"113","Carroll",2018,260.325406758448,378.181818181818,571.428571428571
"114","Cass",2018,438.177874186551,878.260869565217,1057.59162303665
"115","Cedar",2018,276.497695852535,543.80664652568,1111.11111111111
"116","Cerro Gordo",2018,464.140730717185,800.46674445741,1426.19542619543
"117","Cherokee",2018,274.463007159905,410.714285714286,696.969696969697
"118","Chickasaw",2018,220,405.737704918033,487.684729064039
"119","Clarke",2018,476.190476190476,519.480519480519,2539.68253968254
"120","Clay",2018,364.341085271318,361.538461538462,1424.24242424242
"121","Clayton",2018,270.566727605119,331.096196868009,550.185873605948
"122","Clinton",2018,527.341294783155,693.961952026468,1500.89445438283
"123","Crawford",2018,427.734375,350.961538461538,1073.52941176471
"124","Dallas",2018,120.490620490621,200.640768922707,345.51724137931
"125","Davis",2018,135.029354207436,260.377358490566,456.953642384106
"126","Decatur",2018,442.857142857143,656.084656084656,1362.63736263736
"127","Delaware",2018,318.007662835249,287.19723183391,1099.33774834437
"128","Des Moines",2018,523.076923076923,824.696802646086,1815.53398058252
"129","Dickinson",2018,339.246119733925,410.187667560322,968.354430379747
"130","Dubuque",2018,302.747252747253,445.973290165925,823.617339312407
"131","Emmet",2018,394.255874673629,1279.66101694915,1641.30434782609
"132","Fayette",2018,316,673.295454545455,1012.82051282051
"133","Floyd",2018,632.967032967033,755.905511811024,929.032258064516
"134","Franklin",2018,253.012048192771,549.738219895288,777.777777777778
"135","Fremont",2018,425,658.064516129032,2266.66666666667
"136","Greene",2018,493.197278911565,690.47619047619,993.150684931507
"137","Grundy",2018,276.346604215457,483.606557377049,572.815533980582
"138","Guthrie",2018,548.821548821549,612.781954887218,1663.26530612245
"139","Hamilton",2018,286.282306163022,314.410480349345,1285.71428571429
"140","Hancock",2018,258.333333333333,438.679245283019,704.545454545455
"141","Hardin",2018,462.825278810409,803.225806451613,2128.20512820513
"142","Harrison",2018,422.505307855626,590.504451038576,970.731707317073
"143","Henry",2018,395.382395382395,612.975391498881,1814.56953642384
"144","Howard",2018,340.116279069767,477.551020408163,914.0625
"145","Humboldt",2018,185.507246376812,309.178743961353,592.592592592593
"146","Ida",2018,457.983193277311,664.634146341463,1101.0101010101
"147","Iowa",2018,259.649122807018,373.737373737374,660.714285714286
"148","Jackson",2018,324.146981627297,622.166246851385,851.724137931035
"149","Jasper",2018,385.362210604929,613.555291319857,1290
"150","Jefferson",2018,419.72920696325,322.436849925706,1373.41772151899
"151","Johnson",2018,176.566167178191,292.201971915148,512.847404299948
"152","Jones",2018,439.63963963964,481.262327416174,1119.26605504587
"153","Keokuk",2018,458.579881656805,574.074074074074,851.648351648352
"154","Kossuth",2018,237.113402061856,318.559556786704,884.615384615385
"155","Lee",2018,480.574324324324,642.937853107345,1703.59281437126
"156","Linn",2018,337.394129249333,536.4323925475,976.494291470786
"157","Louisa",2018,272.727272727273,823.529411764706,1024.39024390244
"158","Lucas",2018,406.844106463878,443.983402489627,604.519774011299
"159","Lyon",2018,232.65306122449,294.573643410853,553.398058252427
"160","Madison",2018,454.068241469816,310.035842293907,1418.03278688525
"161","Mahaska",2018,384.431137724551,513.6,1167.27272727273
"162","Marion",2018,341.262580054895,430.219146482122,937.185929648241
"163","Marshall",2018,368.898978433598,677.789363920751,1242.82982791587
"164","Mills",2018,524.193548387097,424.83660130719,1413.04347826087
"165","Mitchell",2018,256.329113924051,281.25,778.846153846154
"166","Monona",2018,360.26936026936,775.36231884058,1188.88888888889
"167","Monroe",2018,336.996336996337,522.727272727273,1082.35294117647
"168","Montgomery",2018,438.256658595642,882.926829268293,1967.39130434783
"169","Muscatine",2018,431.385869565217,490.34749034749,1065.43624161074
"170","OBrien",2018,361.161524500907,698.245614035088,1069.89247311828
"171","Osceola",2018,358.139534883721,469.512195121951,1452.83018867925
"172","Page",2018,534.042553191489,758.308157099698,1755.24475524476
"173","Palo Alto",2018,342.281879194631,412.955465587045,689.189189189189
"174","Plymouth",2018,273.399014778325,300.405953991881,606.55737704918
"175","Pocahontas",2018,401.639344262295,742.424242424242,942.307692307692
"176","Polk",2018,278.14668730341,396.681857020792,855.497542997543
"177","Pottawattamie",2018,495.865412033077,713.875205254516,1171.83288409704
"178","Poweshiek",2018,360.655737704918,714.285714285714,1189.18918918919
"179","Ringgold",2018,222.222222222222,403.669724770642,511.627906976744
"180","Sac",2018,251.396648044693,450,762.71186440678
"181","Scott",2018,349.217950592019,557.786598178847,1052.88673424416
"182","Shelby",2018,421.538461538462,479.020979020979,713.541666666667
"183","Sioux",2018,139.649122807018,172.294372294372,389.432485322896
"184","Story",2018,212.016574585635,372.572815533981,700.913242009132
"185","Tama",2018,415.868673050616,873.563218390805,1974.02597402597
"186","Taylor",2018,456.25,403.314917127072,1377.35849056604
"187","Union",2018,554.761904761905,774.086378737542,2061.94690265487
"188","Van Buren",2018,422.413793103448,478.048780487805,1289.47368421053
"189","Wapello",2018,480.482611781405,864.623243933589,1487.91208791209
"190","Warren",2018,284.132841328413,515.296367112811,812.971342383107
"191","Washington",2018,223.516949152542,373.451327433628,967.889908256881
"192","Wayne",2018,312.056737588652,483.516483516484,1205.47945205479
"193","Webster",2018,500.376789751319,790.47619047619,1309.66469428008
"194","Winnebago",2018,524.096385542169,750,824.644549763033
"195","Winneshiek",2018,203.557312252964,258.145363408521,357.638888888889
"196","Woodbury",2018,426.169085464179,596.581747823283,1209.94113799869
"197","Worth",2018,391.089108910891,417.989417989418,1025.97402597403
