"","fips","county","year","provider_type","percent","value"
"1",19197,"Adair",2020,"Center Based Programs","72%",0.72
"2",19197,"Adair",2020,"Registered Child Development Homes","25%",0.25
"3",19197,"Adair",2020,"Child Care Homes","3%",0.03
"4",19197,"Adams",2020,"Center Based Programs","60%",0.6
"5",19197,"Adams",2020,"Registered Child Development Homes","33%",0.33
"6",19197,"Adams",2020,"Child Care Homes","6%",0.06
"7",19197,"Allamakee",2020,"Center Based Programs","76%",0.76
"8",19197,"Allamakee",2020,"Registered Child Development Homes","19%",0.19
"9",19197,"Allamakee",2020,"Child Care Homes","5%",0.05
"10",19197,"Appanoose",2020,"Center Based Programs","77%",0.77
"11",19197,"Appanoose",2020,"Registered Child Development Homes","23%",0.23
"12",19197,"Appanoose",2020,"Child Care Homes","0%",0
"13",19197,"Audubon",2020,"Center Based Programs","50%",0.5
"14",19197,"Audubon",2020,"Registered Child Development Homes","48%",0.48
"15",19197,"Audubon",2020,"Child Care Homes","2%",0.02
"16",19197,"Benton",2020,"Center Based Programs","81%",0.81
"17",19197,"Benton",2020,"Registered Child Development Homes","19%",0.19
"18",19197,"Benton",2020,"Child Care Homes","0%",0
"19",19197,"Black Hawk",2020,"Center Based Programs","77%",0.77
"20",19197,"Black Hawk",2020,"Registered Child Development Homes","20%",0.2
"21",19197,"Black Hawk",2020,"Child Care Homes","3%",0.03
"22",19197,"Boone",2020,"Center Based Programs","78%",0.78
"23",19197,"Boone",2020,"Registered Child Development Homes","20%",0.2
"24",19197,"Boone",2020,"Child Care Homes","2%",0.02
"25",19197,"Bremer",2020,"Center Based Programs","74%",0.74
"26",19197,"Bremer",2020,"Registered Child Development Homes","21%",0.21
"27",19197,"Bremer",2020,"Child Care Homes","5%",0.05
"28",19197,"Buchanan",2020,"Center Based Programs","83%",0.83
"29",19197,"Buchanan",2020,"Registered Child Development Homes","17%",0.17
"30",19197,"Buchanan",2020,"Child Care Homes","0%",0
"31",19197,"Buena Vista",2020,"Center Based Programs","84%",0.84
"32",19197,"Buena Vista",2020,"Registered Child Development Homes","14%",0.14
"33",19197,"Buena Vista",2020,"Child Care Homes","2%",0.02
"34",19197,"Butler",2020,"Center Based Programs","71%",0.71
"35",19197,"Butler",2020,"Registered Child Development Homes","26%",0.26
"36",19197,"Butler",2020,"Child Care Homes","3%",0.03
"37",19197,"Calhoun",2020,"Center Based Programs","84%",0.84
"38",19197,"Calhoun",2020,"Registered Child Development Homes","12%",0.12
"39",19197,"Calhoun",2020,"Child Care Homes","4%",0.04
"40",19197,"Carroll",2020,"Center Based Programs","63%",0.63
"41",19197,"Carroll",2020,"Registered Child Development Homes","28%",0.28
"42",19197,"Carroll",2020,"Child Care Homes","9%",0.09
"43",19197,"Cass",2020,"Center Based Programs","68%",0.68
"44",19197,"Cass",2020,"Registered Child Development Homes","28%",0.28
"45",19197,"Cass",2020,"Child Care Homes","4%",0.04
"46",19197,"Cedar",2020,"Center Based Programs","84%",0.84
"47",19197,"Cedar",2020,"Registered Child Development Homes","15%",0.15
"48",19197,"Cedar",2020,"Child Care Homes","1%",0.01
"49",19197,"Cerro Gordo",2020,"Center Based Programs","83%",0.83
"50",19197,"Cerro Gordo",2020,"Registered Child Development Homes","15%",0.15
"51",19197,"Cerro Gordo",2020,"Child Care Homes","2%",0.02
"52",19197,"Cherokee",2020,"Center Based Programs","74%",0.74
"53",19197,"Cherokee",2020,"Registered Child Development Homes","21%",0.21
"54",19197,"Cherokee",2020,"Child Care Homes","5%",0.05
"55",19197,"Chickasaw",2020,"Center Based Programs","79%",0.79
"56",19197,"Chickasaw",2020,"Registered Child Development Homes","21%",0.21
"57",19197,"Chickasaw",2020,"Child Care Homes","0%",0
"58",19197,"Clarke",2020,"Center Based Programs","72%",0.72
"59",19197,"Clarke",2020,"Registered Child Development Homes","28%",0.28
"60",19197,"Clarke",2020,"Child Care Homes","0%",0
"61",19197,"Clay",2020,"Center Based Programs","77%",0.77
"62",19197,"Clay",2020,"Registered Child Development Homes","17%",0.17
"63",19197,"Clay",2020,"Child Care Homes","6%",0.06
"64",19197,"Clayton",2020,"Center Based Programs","89%",0.89
"65",19197,"Clayton",2020,"Registered Child Development Homes","9%",0.09
"66",19197,"Clayton",2020,"Child Care Homes","3%",0.03
"67",19197,"Clinton",2020,"Center Based Programs","82%",0.82
"68",19197,"Clinton",2020,"Registered Child Development Homes","18%",0.18
"69",19197,"Clinton",2020,"Child Care Homes","0%",0
"70",19197,"Crawford",2020,"Center Based Programs","76%",0.76
"71",19197,"Crawford",2020,"Registered Child Development Homes","17%",0.17
"72",19197,"Crawford",2020,"Child Care Homes","8%",0.08
"73",19197,"Dallas",2020,"Center Based Programs","94%",0.94
