"","fips","county","year","provider_type","age","cost_average_per_week","cost"
"1",19001,"Adair",2020,"Registered Child Development Homes","Infant (0-12 Months)","$125.00",125
"2",19001,"Adair",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$140.00",140
"3",19001,"Adair",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$125.00",125
"4",19001,"Adair",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$140.00",140
"5",19001,"Adair",2020,"Registered Child Development Homes","Two Year Olds","$116.67",116.67
"6",19001,"Adair",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$130.00",130
"7",19001,"Adair",2020,"Registered Child Development Homes","Three Year Olds","$116.67",116.67
"8",19001,"Adair",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$120.00",120
"9",19001,"Adair",2020,"Registered Child Development Homes","Four & Five Year Olds","$116.67",116.67
"10",19001,"Adair",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$120.00",120
"11",19001,"Adair",2020,"Registered Child Development Homes","Before & After School","$50.00",50
"12",19001,"Adair",2020,"DHS Licensed Centers/Preschools","Before & After School","$70.00",70
"13",19001,"Adair",2020,"Registered Child Development Homes","Full Time School-Age","$125.00",125
"14",19001,"Adair",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$120.00",120
"15",19003,"Adams",2020,"Registered Child Development Homes","Infant (0-12 Months)","$130.00",130
"16",19003,"Adams",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$150.00",150
"17",19003,"Adams",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$130.00",130
"18",19003,"Adams",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$150.00",150
"19",19003,"Adams",2020,"Registered Child Development Homes","Two Year Olds","$122.50",122.5
"20",19003,"Adams",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$150.00",150
"21",19003,"Adams",2020,"Registered Child Development Homes","Three Year Olds","$116.25",116.25
"22",19003,"Adams",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$150.00",150
"23",19003,"Adams",2020,"Registered Child Development Homes","Four & Five Year Olds","$116.25",116.25
"24",19003,"Adams",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$150.00",150
"25",19003,"Adams",2020,"Registered Child Development Homes","Before & After School","$51.25",51.25
"26",19003,"Adams",2020,"DHS Licensed Centers/Preschools","Before & After School","$60.00",60
"27",19003,"Adams",2020,"Registered Child Development Homes","Full Time School-Age","$108.75",108.75
"28",19003,"Adams",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$150.00",150
"29",19005,"Allamakee",2020,"Registered Child Development Homes","Infant (0-12 Months)","$129.15",129.15
"30",19005,"Allamakee",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$165.00",165
"31",19005,"Allamakee",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$127.80",127.8
"32",19005,"Allamakee",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$165.00",165
"33",19005,"Allamakee",2020,"Registered Child Development Homes","Two Year Olds","$127.80",127.8
"34",19005,"Allamakee",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$156.00",156
"35",19005,"Allamakee",2020,"Registered Child Development Homes","Three Year Olds","$127.80",127.8
"36",19005,"Allamakee",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$148.00",148
"37",19005,"Allamakee",2020,"Registered Child Development Homes","Four & Five Year Olds","$127.80",127.8
"38",19005,"Allamakee",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$148.00",148
"39",19005,"Allamakee",2020,"Registered Child Development Homes","Before & After School","$57.50",57.5
"40",19005,"Allamakee",2020,"DHS Licensed Centers/Preschools","Before & After School","$45.00",45
"41",19005,"Allamakee",2020,"Registered Child Development Homes","Full Time School-Age","$127.80",127.8
"42",19005,"Allamakee",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$138.00",138
"43",19007,"Appanoose",2020,"Registered Child Development Homes","Infant (0-12 Months)","$126.60",126.6
"44",19007,"Appanoose",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$187.50",187.5
"45",19007,"Appanoose",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$126.60",126.6
"46",19007,"Appanoose",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$187.50",187.5
"47",19007,"Appanoose",2020,"Registered Child Development Homes","Two Year Olds","$126.60",126.6
"48",19007,"Appanoose",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$187.50",187.5
"49",19007,"Appanoose",2020,"Registered Child Development Homes","Three Year Olds","$125.00",125
"50",19007,"Appanoose",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$155.00",155
"51",19007,"Appanoose",2020,"Registered Child Development Homes","Four & Five Year Olds","$125.00",125
"52",19007,"Appanoose",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$155.00",155
"53",19007,"Appanoose",2020,"Registered Child Development Homes","Before & After School","$77.05",77.05
"54",19007,"Appanoose",2020,"DHS Licensed Centers/Preschools","Before & After School","$54.00",54
"55",19007,"Appanoose",2020,"Registered Child Development Homes","Full Time School-Age","$119.40",119.4
"56",19007,"Appanoose",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$108.00",108
"57",19009,"Audubon",2020,"Registered Child Development Homes","Infant (0-12 Months)","$124.31",124.31
"58",19009,"Audubon",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$150.00",150
"59",19009,"Audubon",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$124.31",124.31
"60",19009,"Audubon",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$150.00",150
"61",19009,"Audubon",2020,"Registered Child Development Homes","Two Year Olds","$147.75",147.75
"62",19009,"Audubon",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$150.00",150
"63",19009,"Audubon",2020,"Registered Child Development Homes","Three Year Olds","$123.75",123.75
"64",19009,"Audubon",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$150.00",150
"65",19009,"Audubon",2020,"Registered Child Development Homes","Four & Five Year Olds","$121.53",121.53
"66",19009,"Audubon",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$150.00",150
"67",19009,"Audubon",2020,"Registered Child Development Homes","Before & After School","$54.44",54.44
"68",19009,"Audubon",2020,"DHS Licensed Centers/Preschools","Before & After School","N/A",NA
"69",19009,"Audubon",2020,"Registered Child Development Homes","Full Time School-Age","$121.53",121.53
"70",19009,"Audubon",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","N/A",NA
"71",19011,"Benton",2020,"Registered Child Development Homes","Infant (0-12 Months)","$145.71",145.71
"72",19011,"Benton",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$172.50",172.5
"73",19011,"Benton",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$142.86",142.86
"74",19011,"Benton",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$170.00",170
"75",19011,"Benton",2020,"Registered Child Development Homes","Two Year Olds","$141.43",141.43
"76",19011,"Benton",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$157.50",157.5
"77",19011,"Benton",2020,"Registered Child Development Homes","Three Year Olds","$140.00",140
"78",19011,"Benton",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$147.00",147
"79",19011,"Benton",2020,"Registered Child Development Homes","Four & Five Year Olds","$133.57",133.57
"80",19011,"Benton",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$142.00",142
"81",19011,"Benton",2020,"Registered Child Development Homes","Before & After School","$65.00",65
"82",19011,"Benton",2020,"DHS Licensed Centers/Preschools","Before & After School","$59.50",59.5
"83",19011,"Benton",2020,"Registered Child Development Homes","Full Time School-Age","$118.33",118.33
"84",19011,"Benton",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$130.50",130.5
"85",19013,"Black Hawk",2020,"Registered Child Development Homes","Infant (0-12 Months)","$141.45",141.45
"86",19013,"Black Hawk",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$195.30",195.3
"87",19013,"Black Hawk",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$137.74",137.74
"88",19013,"Black Hawk",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$195.30",195.3
"89",19013,"Black Hawk",2020,"Registered Child Development Homes","Two Year Olds","$136.97",136.97
"90",19013,"Black Hawk",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$175.50",175.5
"91",19013,"Black Hawk",2020,"Registered Child Development Homes","Three Year Olds","$135.80",135.8
"92",19013,"Black Hawk",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$166.95",166.95
"93",19013,"Black Hawk",2020,"Registered Child Development Homes","Four & Five Year Olds","$136.09",136.09
"94",19013,"Black Hawk",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$163.35",163.35
"95",19013,"Black Hawk",2020,"Registered Child Development Homes","Before & After School","$69.21",69.21
"96",19013,"Black Hawk",2020,"DHS Licensed Centers/Preschools","Before & After School","$80.40",80.4
"97",19013,"Black Hawk",2020,"Registered Child Development Homes","Full Time School-Age","$131.65",131.65
"98",19013,"Black Hawk",2020,"DHS Licensed Centers/Preschools","Full Time School-Age","$169.20",169.2
"99",19015,"Boone",2020,"Registered Child Development Homes","Infant (0-12 Months)","$136.93",136.93
"100",19015,"Boone",2020,"DHS Licensed Centers/Preschools","Infant (0-12 Months)","$165.00",165
"101",19015,"Boone",2020,"Registered Child Development Homes","Toddler (13-23 Months)","$136.20",136.2
"102",19015,"Boone",2020,"DHS Licensed Centers/Preschools","Toddler (13-23 Months)","$158.03",158.03
"103",19015,"Boone",2020,"Registered Child Development Homes","Two Year Olds","$134.87",134.87
"104",19015,"Boone",2020,"DHS Licensed Centers/Preschools","Two Year Olds","$153.03",153.03
"105",19015,"Boone",2020,"Registered Child Development Homes","Three Year Olds","$134.20",134.2
"106",19015,"Boone",2020,"DHS Licensed Centers/Preschools","Three Year Olds","$150.53",150.53
"107",19015,"Boone",2020,"Registered Child Development Homes","Four & Five Year Olds","$131.87",131.87
"108",19015,"Boone",2020,"DHS Licensed Centers/Preschools","Four & Five Year Olds","$148.03",148.03
"109",19015,"Boone",2020,"Registered Child Development Homes","Before & After School","$59.19",59.19
"110",19015,"Boone",2020,"DHS Licensed Centers/Preschools","Before & After School","$63.33",63.33
"111",19015,"Boone",2020,"Registered Child Development Homes","Full Time School-Age","$129.08",129.08
