"","reporting_Counties","total_Population_Estimate","10_Through_Upper_Age_Population_Estimate","0_Through_Upper_Age_Population_Estimate","petition","non_Petition","year","per_100k_Rate"
"1","Adair",7200,"700","1,500",5,10,2015,208.333333333333
"2","Adams",3800,"300","800",NA,15,2015,NA
"3","Allamakee",13900,"1,300","3,100",5,37,2015,302.158273381295
"4","Appanoose",12600,"1,200","2,800",6,24,2015,238.095238095238
"5","Audubon",5700,"500","1,200",9,8,2015,298.245614035088
"6","Benton",25700,"3,000","6,100",23,51,2015,287.937743190661
"7","Black Hawk",133500,"12,200","28,900",219,506,2015,543.071161048689
"8","Boone",26600,"2,800","5,900",19,67,2015,323.308270676692
"9","Bremer",24800,"2,500","5,500",12,94,2015,427.41935483871
"10","Buchanan",21100,"2,600","5,600",21,47,2015,322.274881516588
"11","Buena Vista",20300,"2,200","5,100",18,120,2015,679.802955665025
"12","Butler",14900,"1,600","3,500",5,42,2015,315.436241610738
"13","Calhoun",9800,"900","2,000",NA,16,2015,NA
"14","Carroll",20500,"2,200","5,000",20,33,2015,258.536585365854
"15","Cass",13400,"1,400","3,100",8,37,2015,335.820895522388
"16","Cedar",18400,"2,000","4,200",13,54,2015,364.130434782609
"17","Cerro Gordo",43000,"4,000","8,900",19,177,2015,455.813953488372
"18","Cherokee",11600,"1,100","2,400",12,18,2015,258.620689655172
"19","Chickasaw",12100,"1,300","2,900",NA,41,2015,NA
"20","Clarke",9200,"1,000","2,300",7,35,2015,456.521739130435
"21","Clay",16500,"1,700","3,800",19,72,2015,551.515151515152
"22","Clayton",17700,"1,800","3,900",NA,21,2015,NA
"23","Clinton",47600,"5,000","11,000",25,127,2015,319.327731092437
"24","Crawford",17000,"1,900","4,400",25,74,2015,582.352941176471
"25","Dallas",80800,"9,700","23,000",62,213,2015,340.346534653465
"26","Davis",8800,"1,100","2,500",5,11,2015,181.818181818182
"27","Decatur",8200,"800","1,800",NA,6,2015,NA
"28","Delaware",17400,"1,900","4,100",9,26,2015,201.149425287356
"29","Des Moines",40000,"4,100","9,200",87,314,2015,1002.5
"30","Dickinson",17100,"1,500","3,300",6,58,2015,374.269005847953
"31","Dubuque",97000,"10,100","22,400",138,542,2015,701.030927835052
"32","Emmet",9700,"1,000","2,100",10,62,2015,742.268041237113
"33","Fayette",20200,"1,900","4,200",16,70,2015,425.742574257426
"34","Floyd",16000,"1,700","3,600",NA,36,2015,NA
"35","Franklin",10300,"1,100","2,400",NA,26,2015,NA
"36","Fremont",6900,"700","1,500",8,21,2015,420.289855072464
"37","Greene",9000,"1,000","2,100",11,37,2015,533.333333333333
"38","Grundy",12400,"1,300","2,900",NA,10,2015,NA
"39","Guthrie",10700,"1,200","2,400",15,23,2015,355.140186915888
"40","Hamilton",15200,"1,600","3,500",13,46,2015,388.157894736842
"41","Hancock",11000,"1,200","2,500",NA,33,2015,NA
"42","Hardin",17300,"1,800","3,600",22,76,2015,566.473988439306
"43","Harrison",14200,"1,500","3,200",14,39,2015,373.239436619718
"44","Henry",19900,"2,100","4,400",32,64,2015,482.412060301508
"45","Howard",9400,"1,000","2,300",NA,20,2015,NA
"46","Humboldt",9500,"1,000","2,200",5,30,2015,368.421052631579
"47","Ida",7000,"700","1,600",NA,13,2015,NA
"48","Iowa",16400,"1,800","3,800",13,18,2015,189.024390243902
"49","Jackson",19500,"2,100","4,300",24,58,2015,420.51282051282
"50","Jasper",36700,"3,900","8,200",34,64,2015,267.029972752044
"51","Jefferson",17900,"1,300","2,900",14,24,2015,212.290502793296
"52","Johnson",144600,"12,100","29,200",98,253,2015,242.738589211618
"53","Jones",20400,"2,100","4,400",11,25,2015,176.470588235294
"54","Keokuk",10100,"1,100","2,300",NA,10,2015,NA
"55","Kossuth",15200,"1,500","3,300",8,23,2015,203.947368421053
"56","Lee",35100,"3,400","7,600",61,144,2015,584.045584045584
"57","Linn",219800,"23,800","52,300",304,798,2015,501.364877161056
"58","Louisa",11200,"1,200","2,600",10,27,2015,330.357142857143
"59","Lucas",8700,"900","2,000",10,65,2015,862.068965517241
"60","Lyon",11700,"1,500","3,300",NA,16,2015,NA
"61","Madison",15700,"2,000","4,000",20,35,2015,350.31847133758
"62","Mahaska",22300,"2,400","5,300",19,44,2015,282.511210762332
"63","Marion",33100,"3,800","8,000",24,75,2015,299.093655589124
"64","Marshall",40500,"4,400","10,100",60,228,2015,711.111111111111
"65","Mills",14800,"1,700","3,500",11,55,2015,445.945945945946
"66","Mitchell",10800,"1,200","2,600",NA,15,2015,NA
"67","Monona",9000,"900","1,900",NA,30,2015,NA
"68","Monroe",7900,"900","1,900",NA,22,2015,NA
"69","Montgomery",10200,"1,100","2,300",11,35,2015,450.980392156863
"70","Muscatine",43000,"5,000","10,900",107,159,2015,618.604651162791
"71","O'Brien",14000,"1,500","3,300",10,19,2015,207.142857142857
"72","Osceola",6100,"600","1,400",NA,5,2015,NA
"73","Page",15500,"1,500","3,200",13,28,2015,264.516129032258
"74","Palo Alto",9100,"900","2,100",NA,13,2015,NA
"75","Plymouth",24900,"2,900","6,200",19,44,2015,253.012048192771
"76","Pocahontas",7000,"700","1,600",5,23,2015,400
"77","Polk",466700,"50,200","117,800",706,NA,2015,NA
"78","Pottawattamie",93500,"10,000","22,200",141,455,2015,637.433155080214
"79","Poweshiek",18500,"1,700","3,700",7,21,2015,151.351351351351
"80","Ringgold",5100,"600","1,200",0,NA,2015,NA
"81","Sac",10000,"1,000","2,300",8,18,2015,260
"82","Scott",172200,"18,300","41,200",230,672,2015,523.809523809524
"83","Shelby",11900,"1,300","2,600",6,16,2015,184.873949579832
"84","Sioux",34800,"4,100","9,400",13,63,2015,218.390804597701
"85","Story",96300,"7,100","16,200",36,158,2015,201.453790238837
"86","Tama",17300,"2,000","4,200",14,30,2015,254.335260115607
"87","Taylor",6200,"700","1,500",NA,NA,2015,NA
"88","Union",12400,"1,300","2,800",16,32,2015,387.096774193548
"89","Van Buren",7300,"800","1,700",NA,8,2015,NA
"90","Wapello",35200,"3,400","7,900",52,181,2015,661.931818181818
"91","Warren",48700,"5,900","12,200",54,146,2015,410.677618069815
"92","Washington",22300,"2,500","5,600",15,51,2015,295.964125560538
"93","Wayne",6400,"700","1,600",0,9,2015,140.625
"94","Webster",37000,"3,700","8,000",88,197,2015,770.27027027027
"95","Winnebago",10600,"1,100","2,300",NA,41,2015,NA
"96","Winneshiek",20800,"1,900","3,900",19,38,2015,274.038461538462
"97","Woodbury",102500,"11,700","26,900",124,660,2015,764.878048780488
"98","Worth",7600,"800","1,600",NA,23,2015,NA
"99","Wright",12800,"1,400","3,000",6,33,2015,304.6875
"100","Statewide",3122000,"326,000","729,200",NA,NA,2015,NA
"101","Adair",7000,"700","1,500",NA,9,2016,NA
"102","Adams",3700,"300","800",NA,NA,2016,NA
"103","Allamakee",13900,"1,400","3,200",10,33,2016,309.352517985611
"104","Appanoose",12500,"1,300","2,800",NA,28,2016,NA
"105","Audubon",5600,"500","1,100",6,5,2016,196.428571428571
"106","Benton",25600,"2,900","6,100",47,44,2016,355.46875
"107","Black Hawk",132800,"12,200","28,700",203,320,2016,393.825301204819
"108","Boone",26400,"2,800","5,800",18,82,2016,378.787878787879
"109","Bremer",24800,"2,500","5,500",17,124,2016,568.548387096774
"110","Buchanan",21000,"2,600","5,600",14,31,2016,214.285714285714
"111","Buena Vista",20300,"2,200","5,200",21,122,2016,704.433497536946
"112","Butler",14700,"1,600","3,400",7,19,2016,176.87074829932
"113","Calhoun",9800,"900","2,100",NA,12,2016,NA
"114","Carroll",20400,"2,200","5,000",10,48,2016,284.313725490196
"115","Cass",13200,"1,400","3,000",12,37,2016,371.212121212121
"116","Cedar",18400,"2,000","4,100",11,25,2016,195.652173913043
"117","Cerro Gordo",43100,"4,000","9,000",31,272,2016,703.016241299304
"118","Cherokee",11400,"1,100","2,400",10,37,2016,412.280701754386
"119","Chickasaw",12100,"1,300","2,800",11,28,2016,322.314049586777
"120","Clarke",9300,"1,000","2,400",12,26,2016,408.602150537634
"121","Clay",16300,"1,700","3,700",20,52,2016,441.717791411043
"122","Clayton",17600,"1,800","3,800",NA,7,2016,NA
"123","Clinton",47200,"5,000","10,900",11,104,2016,243.64406779661
"124","Crawford",17000,"1,900","4,300",17,38,2016,323.529411764706
"125","Dallas",84200,"10,000","23,800",39,236,2016,326.603325415677
"126","Davis",8900,"1,100","2,600",NA,14,2016,NA
"127","Decatur",8000,"800","1,800",NA,18,2016,NA
"128","Delaware",17300,"2,000","4,100",5,18,2016,132.947976878613
"129","Des Moines",39600,"4,000","9,000",89,248,2016,851.010101010101
"130","Dickinson",17100,"1,600","3,300",12,44,2016,327.485380116959
"131","Dubuque",96700,"10,000","22,300",92,310,2016,415.718717683557
"132","Emmet",9600,"1,000","2,100",7,37,2016,458.333333333333
"133","Fayette",20000,"1,900","4,200",7,70,2016,385
"134","Floyd",15800,"1,700","3,600",10,63,2016,462.025316455696
"135","Franklin",10200,"1,100","2,300",NA,24,2016,NA
"136","Fremont",7000,"700","1,500",7,14,2016,300
"137","Greene",9000,"1,000","2,100",16,35,2016,566.666666666667
"138","Grundy",12300,"1,300","2,900",NA,12,2016,NA
"139","Guthrie",10600,"1,200","2,400",NA,13,2016,NA
"140","Hamilton",15100,"1,600","3,500",5,25,2016,198.675496688742
"141","Hancock",10900,"1,200","2,400",5,24,2016,266.05504587156
"142","Hardin",17200,"1,700","3,600",15,63,2016,453.488372093023
"143","Harrison",14100,"1,500","3,200",8,18,2016,184.397163120567
"144","Henry",19800,"2,000","4,300",29,64,2016,469.69696969697
