"","County","...2","Year","rate_per_1k_women_15-19"
"1","Adair","Live Birth Rate","2000",13.4228187919463
"2","Adair","Live Birth Rate","2001",13.7221269296741
"3","Adair","Live Birth Rate","2002",8.78734622144113
"4","Adair","Live Birth Rate","2003",9.31098696461825
"5","Adair","Live Birth Rate","2004",NA
"6","Adair","Live Birth Rate","2005",11.6279069767442
"7","Adair","Live Birth Rate","2006",17.8217821782178
"8","Adair","Live Birth Rate","2007",14.0845070422535
"9","Adair","Live Birth Rate","2008",NA
"10","Adair","Live Birth Rate","2009",13.1868131868132
"11","Adair","Live Birth Rate","2010",NA
"12","Adair","Live Birth Rate","2011",11.0132158590308
"13","Adair","Live Birth Rate","2012",NA
"14","Adair","Live Birth Rate","2013",NA
"15","Adair","Live Birth Rate","2014",NA
"16","Adair","Live Birth Rate","2015",NA
"17","Adair","Live Birth Rate","2016",NA
"18","Adair","Live Birth Rate","2017",NA
"19","Adair","Live Birth Rate","2018",NA
"20","Adair","Live Birth Rate","2019",12.5628140703518
"21","Adams","Live Birth Rate","2000",NA
"22","Adams","Live Birth Rate","2001",NA
"23","Adams","Live Birth Rate","2002",NA
"24","Adams","Live Birth Rate","2003",16.7785234899329
"25","Adams","Live Birth Rate","2004",NA
"26","Adams","Live Birth Rate","2005",NA
"27","Adams","Live Birth Rate","2006",27.2108843537415
"28","Adams","Live Birth Rate","2007",NA
"29","Adams","Live Birth Rate","2008",NA
"30","Adams","Live Birth Rate","2009",28.8808664259928
"31","Adams","Live Birth Rate","2010",NA
"32","Adams","Live Birth Rate","2011",NA
"33","Adams","Live Birth Rate","2012",NA
"34","Adams","Live Birth Rate","2013",NA
"35","Adams","Live Birth Rate","2014",NA
"36","Adams","Live Birth Rate","2015",NA
"37","Adams","Live Birth Rate","2016",NA
"38","Adams","Live Birth Rate","2017",NA
"39","Adams","Live Birth Rate","2018",NA
"40","Adams","Live Birth Rate","2019",NA
"41","Allamakee","Live Birth Rate","2000",12.4282982791587
"42","Allamakee","Live Birth Rate","2001",6.59133709981168
"43","Allamakee","Live Birth Rate","2002",18.957345971564
"44","Allamakee","Live Birth Rate","2003",15.2671755725191
"45","Allamakee","Live Birth Rate","2004",14.1509433962264
"46","Allamakee","Live Birth Rate","2005",15.0517403574788
"47","Allamakee","Live Birth Rate","2006",13.7120470127326
"48","Allamakee","Live Birth Rate","2007",24.3190661478599
"49","Allamakee","Live Birth Rate","2008",17.2413793103448
"50","Allamakee","Live Birth Rate","2009",21.875
"51","Allamakee","Live Birth Rate","2010",9.71922246220302
"52","Allamakee","Live Birth Rate","2011",17.8173719376392
"53","Allamakee","Live Birth Rate","2012",18.9349112426036
"54","Allamakee","Live Birth Rate","2013",9.68523002421307
"55","Allamakee","Live Birth Rate","2014",12.5470514429109
"56","Allamakee","Live Birth Rate","2015",15.4838709677419
"57","Allamakee","Live Birth Rate","2016",7.88436268068331
"58","Allamakee","Live Birth Rate","2017",10.6809078771696
"59","Allamakee","Live Birth Rate","2018",7.7120822622108
"60","Allamakee","Live Birth Rate","2019",6.49350649350649
"61","Appanoose","Live Birth Rate","2000",20.2127659574468
"62","Appanoose","Live Birth Rate","2001",18.5387131952017
"63","Appanoose","Live Birth Rate","2002",16.7410714285714
"64","Appanoose","Live Birth Rate","2003",20.6521739130435
"65","Appanoose","Live Birth Rate","2004",20.066889632107
"66","Appanoose","Live Birth Rate","2005",26.7260579064588
"67","Appanoose","Live Birth Rate","2006",27.4914089347079
"68","Appanoose","Live Birth Rate","2007",21.4932126696833
"69","Appanoose","Live Birth Rate","2008",30.4878048780488
"70","Appanoose","Live Birth Rate","2009",23.8993710691824
"71","Appanoose","Live Birth Rate","2010",24.5700245700246
"72","Appanoose","Live Birth Rate","2011",19.5058517555267
"73","Appanoose","Live Birth Rate","2012",22.1914008321775
"74","Appanoose","Live Birth Rate","2013",14.7710487444609
"75","Appanoose","Live Birth Rate","2014",12.7659574468085
"76","Appanoose","Live Birth Rate","2015",16.4179104477612
"77","Appanoose","Live Birth Rate","2016",17.3661360347323
"78","Appanoose","Live Birth Rate","2017",8.72093023255814
"79","Appanoose","Live Birth Rate","2018",11.1111111111111
"80","Appanoose","Live Birth Rate","2019",8.18553888130969
"81","Audubon","Live Birth Rate","2000",17.5054704595186
"82","Audubon","Live Birth Rate","2001",11.6504854368932
"83","Audubon","Live Birth Rate","2002",9.56022944550669
"84","Audubon","Live Birth Rate","2003",13.64522417154
"85","Audubon","Live Birth Rate","2004",28.3975659229209
"86","Audubon","Live Birth Rate","2005",10.3950103950104
"87","Audubon","Live Birth Rate","2006",NA
"88","Audubon","Live Birth Rate","2007",13.3928571428571
"89","Audubon","Live Birth Rate","2008",23.4741784037559
"90","Audubon","Live Birth Rate","2009",11.7924528301887
"91","Audubon","Live Birth Rate","2010",11.7924528301887
"92","Audubon","Live Birth Rate","2011",16.7464114832536
"93","Audubon","Live Birth Rate","2012",NA
"94","Audubon","Live Birth Rate","2013",NA
"95","Audubon","Live Birth Rate","2014",13.6239782016349
"96","Audubon","Live Birth Rate","2015",14.2857142857143
"97","Audubon","Live Birth Rate","2016",NA
"98","Audubon","Live Birth Rate","2017",NA
"99","Audubon","Live Birth Rate","2018",17.3611111111111
"100","Audubon","Live Birth Rate","2019",NA
"101","Benton","Live Birth Rate","2000",16.0398230088496
"102","Benton","Live Birth Rate","2001",12.8824476650564
"103","Benton","Live Birth Rate","2002",10.2591792656587
"104","Benton","Live Birth Rate","2003",4.90196078431373
"105","Benton","Live Birth Rate","2004",8.56531049250535
"106","Benton","Live Birth Rate","2005",6.22406639004149
"107","Benton","Live Birth Rate","2006",10.5686965274283
"108","Benton","Live Birth Rate","2007",8
"109","Benton","Live Birth Rate","2008",9.66921119592875
"110","Benton","Live Birth Rate","2009",8.75837197320969
"111","Benton","Live Birth Rate","2010",6.97799248523886
"112","Benton","Live Birth Rate","2011",10.1495726495727
"113","Benton","Live Birth Rate","2012",4.55321570859419
"114","Benton","Live Birth Rate","2013",8.69061413673233
"115","Benton","Live Birth Rate","2014",4.68933177022274
"116","Benton","Live Birth Rate","2015",7.17274357441721
"117","Benton","Live Birth Rate","2016",6.05326876513317
"118","Benton","Live Birth Rate","2017",5.61447286338116
"119","Benton","Live Birth Rate","2018",7.54716981132075
"120","Benton","Live Birth Rate","2019",4.38871473354232
"121","Black Hawk","Live Birth Rate","2000",16.6247304097771
"122","Black Hawk","Live Birth Rate","2001",17.1534130893737
"123","Black Hawk","Live Birth Rate","2002",15.7278712509144
"124","Black Hawk","Live Birth Rate","2003",15.711293087031
"125","Black Hawk","Live Birth Rate","2004",16.281310211946
"126","Black Hawk","Live Birth Rate","2005",16.3631050939905
"127","Black Hawk","Live Birth Rate","2006",14.707305273343
"128","Black Hawk","Live Birth Rate","2007",16.0537069468768
"129","Black Hawk","Live Birth Rate","2008",14.0546784751637
"130","Black Hawk","Live Birth Rate","2009",14.647137150466
"131","Black Hawk","Live Birth Rate","2010",16.4421553090333
"132","Black Hawk","Live Birth Rate","2011",11.5083002342397
"133","Black Hawk","Live Birth Rate","2012",11.1656057602004
"134","Black Hawk","Live Birth Rate","2013",10.4351455702807
"135","Black Hawk","Live Birth Rate","2014",9.66337474779654
"136","Black Hawk","Live Birth Rate","2015",9.65927183950748
