"","County","Violentcrime","Murder.andnonnegligentmanslaughter","Rape1","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny.theft","Motorvehicletheft","Arson","Total","Population","per100kRate","Year"
"1","Black Hawk",20,0,0,0,20,123,58,48,17,1,287,132393,216.778832717742,2019
"2","Boone",17,0,0,0,17,48,13,27,8,1,131,26370,496.77664012135,2019
"3","Bremer",4,0,2,0,2,24,14,9,1,0,56,24864,225.225225225225,2019
"4","Dubuque",13,1,7,0,5,114,30,68,16,0,254,96982,261.90427089563,2019
"5","Grundy",7,0,0,0,7,63,40,18,5,1,141,12299,1146.43466948532,2019
"6","Guthrie",2,0,0,0,2,45,19,23,3,0,94,10669,881.057268722467,2019
"7","Harrison",7,0,0,0,7,43,12,25,6,2,102,14089,723.969053871815,2019
"8","Jasper",6,0,2,0,4,44,20,17,7,0,100,36971,270.482269887209,2019
"9","Johnson",65,0,8,1,56,196,60,116,20,4,526,148577,354.025185594002,2019
"10","Madison",2,0,0,0,2,26,14,11,1,0,56,16012,349.737696727454,2019
"11","Mills",17,0,1,0,16,98,28,53,17,2,232,15034,1543.16881734735,2019
"12","Polk",112,0,14,9,89,822,211,486,125,4,1872,479612,390.315505033235,2019
"13","Pottawattamie",57,1,7,3,46,251,54,173,24,4,620,93393,663.861317229343,2019
"14","Scott",40,2,6,0,32,170,53,100,17,0,420,172446,243.554504018649,2019
"15","Story",13,1,3,0,9,105,43,46,16,1,237,96941,244.478600385802,2019
"16","Warren",54,0,7,0,47,136,37,82,17,4,384,50076,766.834411694225,2019
"17","Washington",35,0,2,0,33,61,25,27,9,0,192,22100,868.778280542986,2019
"18","Woodbury",22,0,3,0,19,186,98,78,10,0,416,102586,405.513422884214,2019
"19","Adair",0,0,0,0,0,24,7,14,3,0,48,7085,677.487649964714,2019
"20","Adams",3,0,0,0,3,20,8,10,2,0,46,3670,1253.40599455041,2019
"21","Allamakee",7,0,1,0,6,20,5,13,2,0,54,13813,390.936074712228,2019
"22","Appanoose",8,0,0,0,8,70,24,30,16,1,157,12452,1260.84163186637,2019
"23","Buchanan",33,0,8,0,25,115,41,57,17,5,301,21118,1425.32436783786,2019
"24","Buena Vista",12,0,1,0,11,41,29,10,2,0,106,20058,528.467444411207,2019
"25","Butler",7,0,4,0,3,25,15,6,4,1,65,14628,444.353295050588,2019
"26","Calhoun",8,0,0,0,8,31,12,14,5,1,79,9744,810.755336617406,2019
"27","Cass",10,1,2,0,7,38,6,25,7,0,96,13091,733.328240776106,2019
"28","Cedar",12,0,2,0,10,43,14,24,5,1,111,18457,601.397843636561,2019
"29","Cerro Gordo",10,0,2,0,8,98,26,53,19,0,216,42834,504.272307045805,2019
"30","Cherokee",2,0,1,0,1,12,7,5,0,0,28,11343,246.84827647007,2019
"31","Chickasaw",10,0,1,0,9,29,9,15,5,0,78,12026,648.594711458507,2019
"32","Clarke",7,0,2,0,5,36,11,16,9,1,87,9360,929.487179487179,2019
"33","Clay",13,0,1,0,12,11,7,3,1,0,48,16211,296.095243970144,2019
"34","Clayton",11,0,7,0,4,41,11,27,3,0,104,17625,590.070921985816,2019
"35","Clinton",17,0,6,1,10,92,25,61,6,0,218,46909,464.729582809269,2019
"36","Crawford",3,0,0,0,3,3,0,2,1,1,13,17034,76.3179523306328,2019
"37","Davis",4,0,0,0,4,1,0,1,0,0,10,8920,112.107623318386,2019
"38","Delaware",4,0,3,0,1,46,7,30,9,2,102,17183,593.609963335855,2019
"39","Des Moines",14,0,1,0,13,118,70,46,2,0,264,39386,670.288935154623,2019
"40","Dickinson",5,0,0,0,5,29,12,13,4,0,68,17127,397.033923045484,2019
"41","Emmet",0,0,0,0,0,7,0,5,2,0,14,9438,148.336511972876,2019
"42","Franklin",0,0,0,0,0,1,0,0,1,0,2,10162,19.6811651249754,2019
"43","Fremont",11,0,2,1,8,43,16,22,5,1,109,6946,1569.24848833861,2019
"44","Hamilton",6,0,0,0,6,54,28,19,7,0,120,14997,800.160032006401,2019
"45","Hancock",6,0,2,0,4,31,17,14,0,0,74,10802,685.058322532864,2019
"46","Hardin",11,0,4,0,7,83,36,38,9,0,188,17061,1101.92837465565,2019
"47","Henry",20,0,0,0,20,69,20,46,3,2,180,19941,902.662855423499,2019
"48","Howard",0,0,0,0,0,35,20,12,3,0,70,9226,758.725341426404,2019
"49","Humboldt",0,0,0,0,0,41,11,28,2,1,83,9554,868.746074942433,2019
"50","Ida",10,0,2,0,8,68,17,44,7,0,156,6901,2260.54195044197,2019
"51","Iowa",8,0,0,0,8,55,12,31,12,0,126,16189,778.306257335228,2019
