"","name","year","month","unemprate"
"1","Adams",2001,"May",3
"2","Adams",2001,"June",3.5
"3","Adams",2001,"July",3.2
"4","Adams",2001,"August",3.2
"5","Adams",2001,"September",3.5
"6","Adams",2001,"October",3.5
"7","Adams",2001,"November",3.7
"8","Adams",2001,"December",4.3
"9","Adams",2002,"January",5.3
"10","Adams",2002,"February",4.9
"11","Adams",2002,"March",5.4
"12","Adams",2002,"April",4.6
"13","Adams",2002,"May",3.8
"14","Adams",2002,"June",5
"15","Adams",2002,"July",4.5
"16","Adams",2002,"August",3.9
"17","Adams",2002,"September",4.1
"18","Adams",2002,"October",4.1
"19","Adams",2002,"November",4.8
"20","Adams",2002,"December",6
"21","Iowa",2005,"November",4.1
"22","Iowa",2005,"December",4.3
"23","Iowa",2005,"December",4
"24","Iowa",2006,"January",4.6
"25","Iowa",2006,"January",3.9
"26","Iowa",2006,"February",4.4
"27","Iowa",2006,"February",3.8
"28","Iowa",2006,"March",4
"29","Iowa",2006,"March",3.7
"30","Iowa",2006,"April",3.5
"31","Iowa",2006,"April",3.6
"32","Iowa",2006,"May",3.2
"33","Iowa",2015,"August",3.6
"34","Iowa",2015,"September",3.3
"35","Iowa",2015,"September",3.6
"36","Iowa",2015,"October",3.2
"37","Iowa",2015,"October",3.6
"38","Iowa",2015,"November",3.2
"39","Iowa",2015,"November",3.6
"40","Iowa",2015,"December",3.8
"41","Iowa",2015,"December",3.6
"42","Iowa",2016,"January",4.4
"43","Iowa",2016,"January",3.6
"44","Iowa",2016,"February",4.2
"45","Iowa",2016,"February",3.6
"46","Adair",2006,"July",3.1
"47","Adair",2006,"August",2.9
"48","Adair",2006,"September",3.1
"49","Adair",2006,"October",2.9
"50","Adair",2006,"November",2.9
"51","Adair",2006,"December",3.2
"52","Adair",2007,"January",3.8
"53","Adair",2007,"February",4.2
"54","Adair",2007,"March",4.9
"55","Adair",2007,"April",3.7
"56","Adair",2007,"May",3.4
"57","Adair",2007,"June",3
"58","Adair",2007,"July",2.9
"59","Adams",2003,"January",6.5
"60","Adams",2003,"February",6.2
"61","Adams",2003,"March",5.9
"62","Adams",2003,"April",4.9
"63","Adams",2003,"May",4.4
"64","Adams",2003,"June",4.8
"65","Adams",2003,"July",4.6
"66","Adams",2003,"August",4.3
"67","Adams",2003,"September",4.2
"68","Adams",2003,"October",4
"69","Adams",2003,"November",4.8
"70","Adams",2003,"December",5.3
"71","Adams",2004,"January",6.2
"72","Adams",2004,"February",5.8
"73","Iowa",2006,"May",3.6
"74","Iowa",2006,"June",3.6
"75","Iowa",2006,"June",3.6
"76","Iowa",2006,"July",3.6
"77","Iowa",2006,"July",3.7
"78","Iowa",2006,"August",3.6
"79","Iowa",2006,"August",3.7
"80","Iowa",2006,"September",3.4
"81","Iowa",2006,"September",3.7
"82","Iowa",2006,"October",3.1
