"","County","Suppression.Label","Very.LBW.Annual.Avg.Births.Count","Very.LBW.Births.Percent","Year"
"1","Adair","Suppressed",NA,NA,"2015-2019"
"2","Adams","Suppressed",NA,NA,"2015-2019"
"3","Allamakee","Suppressed",NA,NA,"2015-2019"
"4","Appanoose",NA,2,1.44927536231884,"2015-2019"
"5","Audubon","Suppressed",NA,NA,"2015-2019"
"6","Benton",NA,1.8,0.631136044880783,"2015-2019"
"7","Black Hawk",NA,17.8,1.08669108669111,"2015-2019"
"8","Boone",NA,2,0.763358778625952,"2015-2019"
"9","Bremer",NA,1.6,0.612088752869164,"2015-2019"
"10","Buchanan",NA,1.4,0.525131282820703,"2015-2019"
"11","Buena Vista",NA,2,0.693481276005545,"2015-2019"
"12","Butler",NA,1.2,0.867052023121387,"2015-2019"
"13","Calhoun",NA,1.2,1.19284294234593,"2015-2019"
"14","Carroll","Suppressed",NA,NA,"2015-2019"
"15","Cass","Suppressed",NA,NA,"2015-2019"
"16","Cedar",NA,2,1.13895216400911,"2015-2019"
"17","Cerro Gordo",NA,6,1.35808057944771,"2015-2019"
"18","Cherokee","Suppressed",NA,NA,"2015-2019"
"19","Chickasaw","Suppressed",NA,NA,"2015-2019"
"20","Clarke",NA,1.4,1.15131578947369,"2015-2019"
"21","Clay",NA,1.2,0.651465798045602,"2015-2019"
"22","Clayton",NA,1.2,0.68259385665529,"2015-2019"
"23","Clinton",NA,6.8,1.28205128205127,"2015-2019"
"24","Crawford",NA,2.2,0.991884580703335,"2015-2019"
"25","Dallas",NA,9.4,0.774427418026042,"2015-2019"
"26","Davis","Suppressed",NA,NA,"2015-2019"
"27","Decatur",NA,1.2,1.29310344827586,"2015-2019"
"28","Delaware",NA,1.8,0.922131147540982,"2015-2019"
"29","Des Moines",NA,4.4,0.998638220608256,"2015-2019"
"30","Dickinson","Suppressed",NA,NA,"2015-2019"
"31","Dubuque",NA,8.6,0.741762980852171,"2015-2019"
"32","Emmet","Suppressed",NA,NA,"2015-2019"
"33","Fayette",NA,2.2,1.06382978723404,"2015-2019"
"34","Floyd",NA,1.4,0.757575757575758,"2015-2019"
"35","Franklin","Suppressed",NA,NA,"2015-2019"
