fips,county,year,code,married,education,value
19,Statewide,2010,NA,Both,Less than High School Graduate,0.10765239948119325
19,Statewide,2010,NA,Both,High School Graduate,0.22723272188252733
19,Statewide,2010,NA,Both,Some College or Associate's Degree,0.36404483972577356
19,Statewide,2010,NA,Both,Bachelor's Degree or Higher,0.3010700389105058
19,Statewide,2010,B13014004,Married,Less than High School Graduate,0.03972114137483787
19,Statewide,2010,B13014005,Married,High School Graduate,0.1238419492310543
19,Statewide,2010,B13014006,Married,Some College or Associate's Degree,0.2519686863072077
19,Statewide,2010,NA,Married,Bachelor's Degree or Higher,0.28268019269964795
19,Statewide,2010,B13014010,Unmarried,Less than High School Graduate,0.06793125810635538
19,Statewide,2010,B13014011,Unmarried,High School Graduate,0.10339077265147303
19,Statewide,2010,B13014012,Unmarried,Some College or Associate's Degree,0.11207615341856587
19,Statewide,2010,NA,Unmarried,Bachelor's Degree or Higher,0.01838984621085788
19,Statewide,2011,NA,Both,Less than High School Graduate,0.10347213936284452
19,Statewide,2011,NA,Both,High School Graduate,0.21808853358787733
19,Statewide,2011,NA,Both,Some College or Associate's Degree,0.357165016107863
19,Statewide,2011,NA,Both,Bachelor's Degree or Higher,0.3212743109414151
19,Statewide,2011,B13014004,Married,Less than High School Graduate,0.038038420236248656
19,Statewide,2011,B13014005,Married,High School Graduate,0.11638229328242453
19,Statewide,2011,B13014006,Married,Some College or Associate's Degree,0.24152249134948098
19,Statewide,2011,NA,Married,Bachelor's Degree or Higher,0.30010738575349005
19,Statewide,2011,B13014010,Unmarried,Less than High School Graduate,0.06543371912659587
19,Statewide,2011,B13014011,Unmarried,High School Graduate,0.1017062403054528
19,Statewide,2011,B13014012,Unmarried,Some College or Associate's Degree,0.11564252475838205
19,Statewide,2011,NA,Unmarried,Bachelor's Degree or Higher,0.021166925187925067
19,Statewide,2012,NA,Both,Less than High School Graduate,0.10149539418590742
19,Statewide,2012,NA,Both,High School Graduate,0.21349443713362842
19,Statewide,2012,NA,Both,Some College or Associate's Degree,0.3653547075008972
19,Statewide,2012,NA,Both,Bachelor's Degree or Higher,0.3196554611795669
19,Statewide,2012,B13014004,Married,Less than High School Graduate,0.036942217968656536
19,Statewide,2012,B13014005,Married,High School Graduate,0.10931929656657495
19,Statewide,2012,B13014006,Married,Some College or Associate's Degree,0.24017226941021652
19,Statewide,2012,NA,Married,Bachelor's Degree or Higher,0.30080153128364634
19,Statewide,2012,B13014010,Unmarried,Less than High School Graduate,0.06455317621725087
19,Statewide,2012,B13014011,Unmarried,High School Graduate,0.10417514056705347
19,Statewide,2012,B13014012,Unmarried,Some College or Associate's Degree,0.1251824380906807
19,Statewide,2012,NA,Unmarried,Bachelor's Degree or Higher,0.018853929895920565
19,Statewide,2013,NA,Both,Less than High School Graduate,0.10365944364555957
19,Statewide,2013,NA,Both,High School Graduate,0.20888084494471165
19,Statewide,2013,NA,Both,Some College or Associate's Degree,0.36639063817126993
19,Statewide,2013,NA,Both,Bachelor's Degree or Higher,0.32106907323845885
19,Statewide,2013,B13014004,Married,Less than High School Graduate,0.04011503942083602
19,Statewide,2013,B13014005,Married,High School Graduate,0.10420488917538553
19,Statewide,2013,B13014006,Married,Some College or Associate's Degree,0.23513660931224278
19,Statewide,2013,NA,Married,Bachelor's Degree or Higher,0.3031685426687162
19,Statewide,2013,B13014010,Unmarried,Less than High School Graduate,0.06354440422472356
19,Statewide,2013,B13014011,Unmarried,High School Graduate,0.10467595576932613
19,Statewide,2013,B13014012,Unmarried,Some College or Associate's Degree,0.13125402885902712
19,Statewide,2013,NA,Unmarried,Bachelor's Degree or Higher,0.01790053056974265
19,Statewide,2014,NA,Both,Less than High School Graduate,0.10744524089013212
19,Statewide,2014,NA,Both,High School Graduate,0.20652363945153476
19,Statewide,2014,NA,Both,Some College or Associate's Degree,0.3623716876045855
19,Statewide,2014,NA,Both,Bachelor's Degree or Higher,0.3236594320537476
19,Statewide,2014,B13014004,Married,Less than High School Graduate,0.04110991783011564
19,Statewide,2014,B13014005,Married,High School Graduate,0.10519743250330928
19,Statewide,2014,B13014006,Married,Some College or Associate's Degree,0.23137440995029845
19,Statewide,2014,NA,Married,Bachelor's Degree or Higher,0.30597667274407453
19,Statewide,2014,B13014010,Unmarried,Less than High School Graduate,0.06633532306001648
19,Statewide,2014,B13014011,Unmarried,High School Graduate,0.10132620694822549
19,Statewide,2014,B13014012,Unmarried,Some College or Associate's Degree,0.13099727765428706
19,Statewide,2014,NA,Unmarried,Bachelor's Degree or Higher,0.017682759309673068
19,Statewide,2015,NA,Both,Less than High School Graduate,0.10148520988817536
19,Statewide,2015,NA,Both,High School Graduate,0.19860653095633632
19,Statewide,2015,NA,Both,Some College or Associate's Degree,0.36889737422826113
19,Statewide,2015,NA,Both,Bachelor's Degree or Higher,0.3310108849272272
19,Statewide,2015,B13014004,Married,Less than High School Graduate,0.044283553594009574
19,Statewide,2015,B13014005,Married,High School Graduate,0.09779078128486772
19,Statewide,2015,B13014006,Married,Some College or Associate's Degree,0.231757209094741
19,Statewide,2015,NA,Married,Bachelor's Degree or Higher,0.31005925962659
19,Statewide,2015,B13014010,Unmarried,Less than High School Graduate,0.05720165629416578
19,Statewide,2015,B13014011,Unmarried,High School Graduate,0.1008157496714686
19,Statewide,2015,B13014012,Unmarried,Some College or Associate's Degree,0.13714016513352012
19,Statewide,2015,NA,Unmarried,Bachelor's Degree or Higher,0.020951625300637225
19,Statewide,2016,NA,Both,Less than High School Graduate,0.0979104332384636
19,Statewide,2016,NA,Both,High School Graduate,0.18652849740932642
19,Statewide,2016,NA,Both,Some College or Associate's Degree,0.3778004816463548
19,Statewide,2016,NA,Both,Bachelor's Degree or Higher,0.33776058770585515
19,Statewide,2016,B13014004,Married,Less than High School Graduate,0.04568342698679121
19,Statewide,2016,B13014005,Married,High School Graduate,0.0901019241528619
19,Statewide,2016,B13014006,Married,Some College or Associate's Degree,0.23496071419883724
19,Statewide,2016,NA,Married,Bachelor's Degree or Higher,0.3147242696246564
19,Statewide,2016,B13014010,Unmarried,Less than High School Graduate,0.052227006251672384
19,Statewide,2016,B13014011,Unmarried,High School Graduate,0.09642657325646452
19,Statewide,2016,B13014012,Unmarried,Some College or Associate's Degree,0.14283976744751758
19,Statewide,2016,NA,Unmarried,Bachelor's Degree or Higher,0.023036318081198763
19,Statewide,2017,NA,Both,Less than High School Graduate,0.10231655606928108
19,Statewide,2017,NA,Both,High School Graduate,0.1919363725654601
19,Statewide,2017,NA,Both,Some College or Associate's Degree,0.35994058884124286
19,Statewide,2017,NA,Both,Bachelor's Degree or Higher,0.345806482524016
19,Statewide,2017,B13014004,Married,Less than High School Graduate,0.049804757683923055
19,Statewide,2017,B13014005,Married,High School Graduate,0.09445895120139904
19,Statewide,2017,B13014006,Married,Some College or Associate's Degree,0.23278154421100544
19,Statewide,2017,NA,Married,Bachelor's Degree or Higher,0.32029322281580147
19,Statewide,2017,B13014010,Unmarried,Less than High School Graduate,0.05251179838535802
19,Statewide,2017,B13014011,Unmarried,High School Graduate,0.09747742136406104
19,Statewide,2017,B13014012,Unmarried,Some College or Associate's Degree,0.12715904463023742
19,Statewide,2017,NA,Unmarried,Bachelor's Degree or Higher,0.02551325970821455
19,Statewide,2018,NA,Both,Less than High School Graduate,0.09734261084328766
19,Statewide,2018,NA,Both,High School Graduate,0.19250041558811654
19,Statewide,2018,NA,Both,Some College or Associate's Degree,0.35709705763613475
19,Statewide,2018,NA,Both,Bachelor's Degree or Higher,0.353059915932461
19,Statewide,2018,B13014004,Married,Less than High School Graduate,0.05006055712555511
19,Statewide,2018,B13014005,Married,High School Graduate,0.09354294806335937
19,Statewide,2018,B13014006,Married,Some College or Associate's Degree,0.2303308081407775
19,Statewide,2018,NA,Married,Bachelor's Degree or Higher,0.32598731862547203
19,Statewide,2018,B13014010,Unmarried,Less than High School Graduate,0.04728205371773255
19,Statewide,2018,B13014011,Unmarried,High School Graduate,0.09895746752475718
19,Statewide,2018,B13014012,Unmarried,Some College or Associate's Degree,0.12676624949535728
19,Statewide,2018,NA,Unmarried,Bachelor's Degree or Higher,0.027072597306989004
19,Statewide,2019,NA,Both,Less than High School Graduate,0.09909199522102748
19,Statewide,2019,NA,Both,High School Graduate,0.1910394265232975
19,Statewide,2019,NA,Both,Some College or Associate's Degree,0.34910394265232975
19,Statewide,2019,NA,Both,Bachelor's Degree or Higher,0.36076463560334526
19,Statewide,2019,B13014004,Married,Less than High School Graduate,0.056248506571087216
19,Statewide,2019,B13014005,Married,High School Graduate,0.0884109916367981
19,Statewide,2019,B13014006,Married,Some College or Associate's Degree,0.2327120669056153
19,Statewide,2019,NA,Married,Bachelor's Degree or Higher,0.3281720430107527
19,Statewide,2019,B13014010,Unmarried,Less than High School Graduate,0.04284348864994026
19,Statewide,2019,B13014011,Unmarried,High School Graduate,0.1026284348864994
19,Statewide,2019,B13014012,Unmarried,Some College or Associate's Degree,0.11639187574671446
19,Statewide,2019,NA,Unmarried,Bachelor's Degree or Higher,0.0325925925925926
19001,Adair,2010,NA,Both,Less than High School Graduate,0
19001,Adair,2010,NA,Both,High School Graduate,0.2876712328767123
19001,Adair,2010,NA,Both,Some College or Associate's Degree,0.6027397260273972
19001,Adair,2010,NA,Both,Bachelor's Degree or Higher,0.1095890410958904
19001,Adair,2010,B13014004,Married,Less than High School Graduate,0
19001,Adair,2010,B13014005,Married,High School Graduate,0.2876712328767123
19001,Adair,2010,B13014006,Married,Some College or Associate's Degree,0.410958904109589
19001,Adair,2010,NA,Married,Bachelor's Degree or Higher,0.1095890410958904
19001,Adair,2010,B13014010,Unmarried,Less than High School Graduate,0
19001,Adair,2010,B13014011,Unmarried,High School Graduate,0
19001,Adair,2010,B13014012,Unmarried,Some College or Associate's Degree,0.1917808219178082
19001,Adair,2010,NA,Unmarried,Bachelor's Degree or Higher,0
19001,Adair,2011,NA,Both,Less than High School Graduate,0
19001,Adair,2011,NA,Both,High School Graduate,0.4246575342465753
19001,Adair,2011,NA,Both,Some College or Associate's Degree,0.4931506849315068
19001,Adair,2011,NA,Both,Bachelor's Degree or Higher,0.0821917808219178
19001,Adair,2011,B13014004,Married,Less than High School Graduate,0
19001,Adair,2011,B13014005,Married,High School Graduate,0.2876712328767123
19001,Adair,2011,B13014006,Married,Some College or Associate's Degree,0.3287671232876712
19001,Adair,2011,NA,Married,Bachelor's Degree or Higher,0.0821917808219178
19001,Adair,2011,B13014010,Unmarried,Less than High School Graduate,0
19001,Adair,2011,B13014011,Unmarried,High School Graduate,0.136986301369863
19001,Adair,2011,B13014012,Unmarried,Some College or Associate's Degree,0.1643835616438356
19001,Adair,2011,NA,Unmarried,Bachelor's Degree or Higher,0
19001,Adair,2012,NA,Both,Less than High School Graduate,0
19001,Adair,2012,NA,Both,High School Graduate,0.17857142857142855
19001,Adair,2012,NA,Both,Some College or Associate's Degree,0.5238095238095237
19001,Adair,2012,NA,Both,Bachelor's Degree or Higher,0.2976190476190476
19001,Adair,2012,B13014004,Married,Less than High School Graduate,0
19001,Adair,2012,B13014005,Married,High School Graduate,0.07142857142857142
19001,Adair,2012,B13014006,Married,Some College or Associate's Degree,0.42857142857142855
19001,Adair,2012,NA,Married,Bachelor's Degree or Higher,0.2976190476190476
19001,Adair,2012,B13014010,Unmarried,Less than High School Graduate,0
19001,Adair,2012,B13014011,Unmarried,High School Graduate,0.10714285714285714
19001,Adair,2012,B13014012,Unmarried,Some College or Associate's Degree,0.09523809523809523
19001,Adair,2012,NA,Unmarried,Bachelor's Degree or Higher,0
19001,Adair,2013,NA,Both,Less than High School Graduate,0.03488372093023256
19001,Adair,2013,NA,Both,High School Graduate,0.3372093023255814
19001,Adair,2013,NA,Both,Some College or Associate's Degree,0.38372093023255816
19001,Adair,2013,NA,Both,Bachelor's Degree or Higher,0.2441860465116279
19001,Adair,2013,B13014004,Married,Less than High School Graduate,0.03488372093023256
19001,Adair,2013,B13014005,Married,High School Graduate,0.1511627906976744
19001,Adair,2013,B13014006,Married,Some College or Associate's Degree,0.32558139534883723
19001,Adair,2013,NA,Married,Bachelor's Degree or Higher,0.2441860465116279
19001,Adair,2013,B13014010,Unmarried,Less than High School Graduate,0
19001,Adair,2013,B13014011,Unmarried,High School Graduate,0.18604651162790697
19001,Adair,2013,B13014012,Unmarried,Some College or Associate's Degree,0.05813953488372093
19001,Adair,2013,NA,Unmarried,Bachelor's Degree or Higher,0
19001,Adair,2014,NA,Both,Less than High School Graduate,0.02564102564102564
19001,Adair,2014,NA,Both,High School Graduate,0.33333333333333337
19001,Adair,2014,NA,Both,Some College or Associate's Degree,0.28205128205128205
19001,Adair,2014,NA,Both,Bachelor's Degree or Higher,0.358974358974359
19001,Adair,2014,B13014004,Married,Less than High School Graduate,0.02564102564102564
19001,Adair,2014,B13014005,Married,High School Graduate,0.10256410256410256
19001,Adair,2014,B13014006,Married,Some College or Associate's Degree,0.21794871794871795
19001,Adair,2014,NA,Married,Bachelor's Degree or Higher,0.3205128205128205
19001,Adair,2014,B13014010,Unmarried,Less than High School Graduate,0
19001,Adair,2014,B13014011,Unmarried,High School Graduate,0.23076923076923078
19001,Adair,2014,B13014012,Unmarried,Some College or Associate's Degree,0.0641025641025641
19001,Adair,2014,NA,Unmarried,Bachelor's Degree or Higher,0.038461538461538464
19001,Adair,2015,NA,Both,Less than High School Graduate,0.028985507246376812
19001,Adair,2015,NA,Both,High School Graduate,0.3913043478260869
19001,Adair,2015,NA,Both,Some College or Associate's Degree,0.2608695652173913
19001,Adair,2015,NA,Both,Bachelor's Degree or Higher,0.31884057971014496
19001,Adair,2015,B13014004,Married,Less than High School Graduate,0.028985507246376812
19001,Adair,2015,B13014005,Married,High School Graduate,0.057971014492753624
19001,Adair,2015,B13014006,Married,Some College or Associate's Degree,0.18840579710144928
19001,Adair,2015,NA,Married,Bachelor's Degree or Higher,0.2753623188405797
19001,Adair,2015,B13014010,Unmarried,Less than High School Graduate,0
19001,Adair,2015,B13014011,Unmarried,High School Graduate,0.3333333333333333
19001,Adair,2015,B13014012,Unmarried,Some College or Associate's Degree,0.07246376811594203
19001,Adair,2015,NA,Unmarried,Bachelor's Degree or Higher,0.043478260869565216
19001,Adair,2016,NA,Both,Less than High School Graduate,0.04054054054054054
19001,Adair,2016,NA,Both,High School Graduate,0.3918918918918919
19001,Adair,2016,NA,Both,Some College or Associate's Degree,0.21621621621621623
19001,Adair,2016,NA,Both,Bachelor's Degree or Higher,0.3513513513513513
19001,Adair,2016,B13014004,Married,Less than High School Graduate,0.04054054054054054
19001,Adair,2016,B13014005,Married,High School Graduate,0.16216216216216217
19001,Adair,2016,B13014006,Married,Some College or Associate's Degree,0.16216216216216217
19001,Adair,2016,NA,Married,Bachelor's Degree or Higher,0.28378378378378377
19001,Adair,2016,B13014010,Unmarried,Less than High School Graduate,0
19001,Adair,2016,B13014011,Unmarried,High School Graduate,0.22972972972972974
19001,Adair,2016,B13014012,Unmarried,Some College or Associate's Degree,0.05405405405405406
19001,Adair,2016,NA,Unmarried,Bachelor's Degree or Higher,0.06756756756756757
19001,Adair,2017,NA,Both,Less than High School Graduate,0.10256410256410256
19001,Adair,2017,NA,Both,High School Graduate,0.6666666666666667
19001,Adair,2017,NA,Both,Some College or Associate's Degree,0.02564102564102564
19001,Adair,2017,NA,Both,Bachelor's Degree or Higher,0.20512820512820512
19001,Adair,2017,B13014004,Married,Less than High School Graduate,0.10256410256410256
19001,Adair,2017,B13014005,Married,High School Graduate,0.3076923076923077
19001,Adair,2017,B13014006,Married,Some College or Associate's Degree,0.02564102564102564
19001,Adair,2017,NA,Married,Bachelor's Degree or Higher,0.10256410256410256
19001,Adair,2017,B13014010,Unmarried,Less than High School Graduate,0
19001,Adair,2017,B13014011,Unmarried,High School Graduate,0.358974358974359
19001,Adair,2017,B13014012,Unmarried,Some College or Associate's Degree,0
19001,Adair,2017,NA,Unmarried,Bachelor's Degree or Higher,0.10256410256410256
19001,Adair,2018,NA,Both,Less than High School Graduate,0
19001,Adair,2018,NA,Both,High School Graduate,0.3214285714285714
19001,Adair,2018,NA,Both,Some College or Associate's Degree,0.25
19001,Adair,2018,NA,Both,Bachelor's Degree or Higher,0.42857142857142855
19001,Adair,2018,B13014004,Married,Less than High School Graduate,0
19001,Adair,2018,B13014005,Married,High School Graduate,0.2857142857142857
19001,Adair,2018,B13014006,Married,Some College or Associate's Degree,0.21428571428571427
19001,Adair,2018,NA,Married,Bachelor's Degree or Higher,0.21428571428571427
19001,Adair,2018,B13014010,Unmarried,Less than High School Graduate,0
19001,Adair,2018,B13014011,Unmarried,High School Graduate,0.03571428571428571
19001,Adair,2018,B13014012,Unmarried,Some College or Associate's Degree,0.03571428571428571
19001,Adair,2018,NA,Unmarried,Bachelor's Degree or Higher,0.21428571428571427
19001,Adair,2019,NA,Both,Less than High School Graduate,0
19001,Adair,2019,NA,Both,High School Graduate,0.3055555555555556
19001,Adair,2019,NA,Both,Some College or Associate's Degree,0.2777777777777778
19001,Adair,2019,NA,Both,Bachelor's Degree or Higher,0.41666666666666663
19001,Adair,2019,B13014004,Married,Less than High School Graduate,0
19001,Adair,2019,B13014005,Married,High School Graduate,0.25
19001,Adair,2019,B13014006,Married,Some College or Associate's Degree,0.25
19001,Adair,2019,NA,Married,Bachelor's Degree or Higher,0.19444444444444445
19001,Adair,2019,B13014010,Unmarried,Less than High School Graduate,0
19001,Adair,2019,B13014011,Unmarried,High School Graduate,0.05555555555555555
19001,Adair,2019,B13014012,Unmarried,Some College or Associate's Degree,0.027777777777777776
19001,Adair,2019,NA,Unmarried,Bachelor's Degree or Higher,0.2222222222222222
19003,Adams,2010,NA,Both,Less than High School Graduate,0.10989010989010989
19003,Adams,2010,NA,Both,High School Graduate,0.054945054945054944
19003,Adams,2010,NA,Both,Some College or Associate's Degree,0.6263736263736264
19003,Adams,2010,NA,Both,Bachelor's Degree or Higher,0.2087912087912088
19003,Adams,2010,B13014004,Married,Less than High School Graduate,0
19003,Adams,2010,B13014005,Married,High School Graduate,0.054945054945054944
19003,Adams,2010,B13014006,Married,Some College or Associate's Degree,0.5384615384615384
19003,Adams,2010,NA,Married,Bachelor's Degree or Higher,0.2087912087912088
19003,Adams,2010,B13014010,Unmarried,Less than High School Graduate,0.10989010989010989
19003,Adams,2010,B13014011,Unmarried,High School Graduate,0
19003,Adams,2010,B13014012,Unmarried,Some College or Associate's Degree,0.08791208791208792
19003,Adams,2010,NA,Unmarried,Bachelor's Degree or Higher,0
19003,Adams,2011,NA,Both,Less than High School Graduate,0.14492753623188406
19003,Adams,2011,NA,Both,High School Graduate,0.13043478260869565
19003,Adams,2011,NA,Both,Some College or Associate's Degree,0.5507246376811594
19003,Adams,2011,NA,Both,Bachelor's Degree or Higher,0.17391304347826086
19003,Adams,2011,B13014004,Married,Less than High School Graduate,0
19003,Adams,2011,B13014005,Married,High School Graduate,0.13043478260869565
19003,Adams,2011,B13014006,Married,Some College or Associate's Degree,0.5217391304347826
19003,Adams,2011,NA,Married,Bachelor's Degree or Higher,0.17391304347826086
19003,Adams,2011,B13014010,Unmarried,Less than High School Graduate,0.14492753623188406
19003,Adams,2011,B13014011,Unmarried,High School Graduate,0
19003,Adams,2011,B13014012,Unmarried,Some College or Associate's Degree,0.028985507246376812
19003,Adams,2011,NA,Unmarried,Bachelor's Degree or Higher,0
19003,Adams,2012,NA,Both,Less than High School Graduate,0
19003,Adams,2012,NA,Both,High School Graduate,0.26865671641791045
19003,Adams,2012,NA,Both,Some College or Associate's Degree,0.582089552238806
19003,Adams,2012,NA,Both,Bachelor's Degree or Higher,0.14925373134328357
19003,Adams,2012,B13014004,Married,Less than High School Graduate,0
19003,Adams,2012,B13014005,Married,High School Graduate,0.26865671641791045
19003,Adams,2012,B13014006,Married,Some College or Associate's Degree,0.5074626865671642
19003,Adams,2012,NA,Married,Bachelor's Degree or Higher,0.14925373134328357
